RK,Team,Name,Position,Position Rank,Ceiling,Average,Floor,Standard Deviation
1,TEN,Derrick Henry,RB,1,1,1.6,2,0.5
2,LAR,Cooper Kupp,WR,1,1,1.6,4,0.9
3,KC,Tyreek Hill,WR,2,2,3.8,5,0.6
4,MIN,Dalvin Cook,RB,2,3,3.9,10,1.8
5,CIN,Ja'Marr Chase,WR,3,4,5.9,11,1.4
6,IND,Jonathan Taylor,RB,3,3,7.9,14,2.5
7,BUF,Stefon Diggs,WR,4,6,8.9,17,3.3
8,DAL,Ezekiel Elliott,RB,4,5,9.3,15,2.8
9,LAC,Austin Ekeler,RB,5,6,9.6,13,2.2
10,GB,Aaron Jones,RB,6,6,9.8,21,3.3
11,NO,Alvin Kamara,RB,7,3,10.0,14,3.1
12,MIN,Justin Jefferson,WR,5,6,12.0,18,3.6
13,DET,D'Andre Swift,RB,8,8,12.6,15,2.2
14,KC,Travis Kelce,TE,1,12,13.1,18,1.5
15,SF,Deebo Samuel,WR,6,11,15.7,19,2.7
16,LAR,Darrell Henderson Jr.,RB,9,8,16.0,22,3.5
17,CIN,Joe Mixon,RB,10,12,17.6,22,3.1
18,JAC,James Robinson,RB,11,13,18.0,22,2.7
19,TEN,A.J. Brown,WR,7,16,18.9,22,1.4
20,ARI,DeAndre Hopkins,WR,8,11,19.2,26,3.5
21,PIT,Najee Harris,RB,12,9,19.5,23,3.3
22,CAR,D.J. Moore,WR,9,18,21.7,25,2.0
23,CLE,Nick Chubb,RB,13,14,23.4,31,4.5
24,DAL,CeeDee Lamb,WR,10,19,24.0,33,3.2
25,NE,Damien Harris,RB,14,17,24.6,31,3.0
26,LAC,Mike Williams,WR,11,24,26.0,29,1.7
27,PIT,Diontae Johnson,WR,12,24,28.4,35,2.8
28,TB,Chris Godwin,WR,13,25,28.5,33,2.2
29,WAS,Terry McLaurin,WR,14,24,29.0,37,3.7
30,ATL,Cordarrelle Patterson,RB,15,24,29.6,33,2.5
31,SEA,D.K. Metcalf,WR,15,25,31.4,35,2.8
32,ATL,Calvin Ridley,WR,16,26,32.0,37,2.7
33,TB,Mike Evans,WR,17,28,32.0,37,2.5
34,LAC,Keenan Allen,WR,18,31,35.0,38,1.4
35,DAL,Amari Cooper,WR,19,33,35.4,38,1.2
36,TB,Leonard Fournette,RB,16,31,35.7,45,5.7
37,MIN,Adam Thielen,WR,20,32,36.7,40,1.9
38,IND,Michael Pittman Jr.,WR,21,36,39.0,44,2.0
39,DEN,Courtland Sutton,WR,22,34,39.0,42,2.1
40,KC,Darrel Williams,RB,17,30,40.6,51,6.5
41,LAR,Robert Woods,WR,23,38,40.9,45,1.5
42,CIN,Tee Higgins,WR,24,38,41.7,48,2.4
43,PHI,DeVonta Smith,WR,25,41,44.1,54,2.9
44,PIT,Chase Claypool,WR,26,39,45.0,52,3.8
45,BUF,Emmanuel Sanders,WR,27,43,46.0,50,2.1
46,CAR,Chuba Hubbard,RB,18,34,46.9,50,3.2
47,JAC,Marvin Jones Jr.,WR,28,41,47.6,55,4.1
48,SF,Elijah Mitchell,RB,19,45,48.5,51,1.9
49,HOU,Brandin Cooks,WR,29,41,50.5,57,3.7
50,CHI,Khalil Herbert,RB,20,46,51.6,60,2.7
51,WAS,Antonio Gibson,RB,21,48,52.0,56,1.8
52,MIA,Jaylen Waddle,WR,30,48,52.4,57,2.8
53,SEA,Tyler Lockett,WR,31,47,54.3,65,5.5
54,PHI,Kenneth Gainwell,RB,22,46,55.3,71,6.1
55,TEN,Julio Jones,WR,32,51,57.1,61,2.2
56,NYG,Devontae Booker,RB,23,53,58.0,66,3.3
57,ARI,Chase Edmonds,RB,24,49,59.2,70,4.9
58,DEN,Jerry Jeudy,WR,33,54,59.3,75,5.3
59,DEN,Javonte Williams,RB,25,53,62.5,72,4.6
60,ATL,Kyle Pitts,TE,2,58,62.7,65,1.6
61,ARI,Christian Kirk,WR,34,59,65.2,77,4.5
62,JAC,Laviska Shenault Jr.,WR,35,59,65.5,82,5.7
63,NE,Jakobi Meyers,WR,36,57,65.7,79,6.1
64,DEN,Melvin Gordon III,RB,26,60,65.9,72,4.2
65,BUF,Zack Moss,RB,27,56,66.0,74,5.5
66,NYG,Sterling Shepard,WR,37,56,66.3,83,6.8
67,SEA,Alex Collins,RB,28,53,66.8,85,7.9
68,PHI,Dallas Goedert,TE,3,64,67.9,77,4.7
69,ARI,James Conner,RB,29,56,68.7,84,6.1
70,CIN,Tyler Boyd,WR,38,61,70.5,81,5.1
71,DET,T.J. Hockenson,TE,4,69,72.6,78,2.8
72,MIA,Mike Gesicki,TE,5,64,73.2,82,4.2
73,NYJ,Michael Carter,RB,30,61,75.2,103,10.1
74,BUF,Cole Beasley,WR,39,65,76.2,90,6.8
75,MIA,Myles Gaskin,RB,31,63,77.0,97,7.9
76,CHI,Darnell Mooney,WR,40,67,77.3,90,5.9
77,CLE,Jarvis Landry,WR,41,67,78.7,87,4.7
78,ARI,A.J. Green,WR,42,63,80.6,91,8.2
79,NYJ,Corey Davis,WR,43,68,81.9,94,5.0
80,DEN,Noah Fant,TE,6,80,83.2,93,4.4
81,CAR,Robby Anderson,WR,44,75,83.6,95,4.4
82,DAL,Dalton Schultz,TE,7,73,85.1,110,8.6
83,CHI,Allen Robinson II,WR,45,80,88.0,97,4.3
84,NO,Marquez Callaway,WR,46,81,88.2,98,4.5
85,WAS,J.D. McKissic,RB,32,76,89.0,101,6.6
86,CLE,Odell Beckham Jr.,WR,47,79,89.3,100,4.8
87,DAL,Tony Pollard,RB,33,74,89.3,96,6.4
