RK,Team,Name,Position,Position Rank,Ceiling,Average,Floor,Standard Deviation
1,CAR,Christian McCaffrey,RB,1,1,1.0,1,0.0
2,MIN,Dalvin Cook,RB,2,2,2.3,4,0.6
3,TEN,Derrick Henry,RB,3,2,2.8,3,0.4
4,GB,Davante Adams,WR,1,5,5.6,9,1.0
5,KC,Tyreek Hill,WR,2,5,5.9,9,0.8
6,NO,Alvin Kamara,RB,4,4,6.5,12,2.7
7,GB,Aaron Jones,RB,5,4,7.0,11,2.7
8,KC,Travis Kelce,TE,1,7,7.4,8,0.5
9,CLE,Nick Chubb,RB,6,4,10.1,20,3.0
10,ARI,DeAndre Hopkins,WR,3,5,10.7,13,2.2
11,LAC,Austin Ekeler,RB,7,7,10.7,20,2.7
12,BUF,Stefon Diggs,WR,4,9,11.3,17,2.6
13,SEA,D.K. Metcalf,WR,5,14,14.7,17,1.1
14,ATL,Calvin Ridley,WR,6,14,15.2,18,1.0
15,IND,Jonathan Taylor,RB,8,11,17.2,28,5.8
16,LAC,Keenan Allen,WR,7,14,17.3,21,2.0
17,SEA,Tyler Lockett,WR,8,13,17.4,21,2.2
18,MIN,Justin Jefferson,WR,9,14,17.8,21,1.9
19,PIT,Najee Harris,RB,9,10,19.1,26,5.5
20,DAL,CeeDee Lamb,WR,10,17,19.5,25,2.6
21,TEN,A.J. Brown,WR,11,16,21.1,32,3.5
22,LAR,Cooper Kupp,WR,12,16,21.4,32,4.3
23,LV,Darren Waller,TE,2,20,21.8,23,1.5
24,DAL,Ezekiel Elliott,RB,10,11,22.1,29,5.3
25,CIN,Joe Mixon,RB,11,12,24.4,29,3.5
26,SEA,Chris Carson,RB,12,20,27.7,31,3.0
27,NYG,Saquon Barkley,RB,13,26,27.7,30,1.7
28,DAL,Amari Cooper,WR,13,19,27.8,36,5.4
29,WAS,Antonio Gibson,RB,14,25,28.7,36,2.3
30,CHI,David Montgomery,RB,15,22,29.2,49,5.3
31,PHI,Miles Sanders,RB,16,24,30.6,34,1.9
32,CAR,D.J. Moore,WR,14,27,31.9,36,2.9
33,CHI,Allen Robinson II,WR,15,25,33.9,40,3.3
34,WAS,Terry McLaurin,WR,16,28,34.0,39,3.3
35,DET,D'Andre Swift,RB,17,31,35.1,43,2.9
36,TB,Chris Godwin,WR,17,28,35.6,41,3.2
37,MIN,Adam Thielen,WR,18,28,36.7,42,3.6
38,SF,Deebo Samuel,WR,19,32,38.9,48,4.5
39,KC,Clyde Edwards-Helaire,RB,18,37,40.7,47,2.0
40,TB,Mike Evans,WR,20,38,41.3,49,3.3
41,NE,Damien Harris,RB,19,37,41.9,61,6.8
42,TEN,Julio Jones,WR,21,38,43.7,51,3.6
43,MIA,Myles Gaskin,RB,20,42,46.4,57,4.7
44,LAC,Mike Williams,WR,22,41,47.0,54,3.8
45,LAR,Robert Woods,WR,23,40,47.8,60,4.6
46,CIN,Tee Higgins,WR,24,43,48.2,55,3.5
47,BAL,Ty'Son Williams,RB,21,29,48.6,66,10.2
48,DEN,Courtland Sutton,WR,25,38,49.6,56,5.2
49,PIT,Diontae Johnson,WR,26,43,50.2,58,4.6
50,ARI,Chase Edmonds,RB,22,36,50.4,71,8.1
51,CLE,Kareem Hunt,RB,23,42,50.8,68,8.3
52,PHI,DeVonta Smith,WR,27,44,53.2,58,3.0
53,TB,Antonio Brown,WR,28,45,53.7,88,10.6
54,DET,T.J. Hockenson,TE,3,48,54.8,59,3.9
55,CIN,Ja'Marr Chase,WR,29,50,55.3,69,4.7
56,SF,George Kittle,TE,4,48,55.4,66,4.4
57,SF,Elijah Mitchell,RB,24,41,56.7,72,8.3
58,BAL,Marquise Brown,WR,30,40,57.5,70,7.7
59,PIT,Chase Claypool,WR,31,51,58.6,70,4.3
60,DEN,Melvin Gordon III,RB,25,45,59.7,71,6.0
61,NYG,Sterling Shepard,WR,32,51,60.6,68,4.8
