RK,Team,Name,Position,Position Rank,Ceiling,Average,Floor,Standard Deviation
1,TEN,Derrick Henry,RB,1,1,1.6,5,1.0
2,GB,Davante Adams,WR,1,2,2.0,2,0.0
3,LAC,Austin Ekeler,RB,2,1,4.0,7,1.4
4,DAL,Ezekiel Elliott,RB,3,3,5.0,11,2.6
5,KC,Tyreek Hill,WR,2,4,6.4,10,1.1
6,IND,Jonathan Taylor,RB,4,5,7.5,15,3.2
7,LAR,Cooper Kupp,WR,3,6,8.6,16,2.0
8,GB,Aaron Jones,RB,5,4,8.8,15,2.9
9,KC,Travis Kelce,TE,1,9,9.0,9,0.0
10,BUF,Stefon Diggs,WR,4,6,9.3,13,1.5
11,PIT,Najee Harris,RB,6,3,9.7,14,3.5
12,CLE,Nick Chubb,RB,7,7,13.4,20,2.6
13,MIN,Justin Jefferson,WR,5,8,14.0,19,2.7
14,JAC,James Robinson,RB,8,11,15.6,21,2.6
15,WAS,Terry McLaurin,WR,6,12,16.3,21,2.4
16,CAR,D.J. Moore,WR,7,13,17.1,22,2.2
17,DET,D'Andre Swift,RB,9,15,17.8,25,2.3
18,CAR,Christian McCaffrey,RB,10,1,19.2,113,24.7
19,WAS,Antonio Gibson,RB,11,14,20.2,25,3.5
20,ARI,DeAndre Hopkins,WR,8,18,20.4,26,2.1
21,CIN,Ja'Marr Chase,WR,9,18,20.9,26,1.9
22,LAC,Mike Williams,WR,10,18,21.8,26,1.9
23,LAR,Darrell Henderson Jr.,RB,12,16,22.7,30,3.0
24,PIT,Diontae Johnson,WR,11,19,25.2,33,2.6
25,SEA,D.K. Metcalf,WR,12,19,26.3,41,3.6
26,CIN,Joe Mixon,RB,13,20,26.5,44,5.4
27,LAC,Keenan Allen,WR,13,22,26.9,32,1.6
28,TB,Chris Godwin,WR,14,26,28.6,33,1.7
29,TB,Mike Evans,WR,15,21,30.4,34,2.6
30,MIN,Dalvin Cook,RB,14,11,30.6,103,19.3
31,DAL,CeeDee Lamb,WR,16,18,30.7,36,3.2
32,CLE,Kareem Hunt,RB,15,20,31.8,48,5.9
33,LV,Darren Waller,TE,2,30,33.2,41,4.0
34,PIT,Chase Claypool,WR,17,32,35.8,44,3.4
35,DAL,Amari Cooper,WR,18,32,36.0,44,3.3
36,DEN,Courtland Sutton,WR,19,32,36.2,45,3.1
37,TB,Leonard Fournette,RB,16,25,36.5,61,7.3
38,BAL,Mark Andrews,TE,3,30,38.9,53,5.1
39,TEN,A.J. Brown,WR,20,32,39.2,50,3.9
40,BAL,Marquise Brown,WR,21,31,39.2,45,3.9
