RK,Team,Name,Position,Position Rank,Ceiling,Average,Floor,Standard Deviation
1,IND,Jonathan Taylor,RB,1,1,1.7,4,1.3
2,GB,Davante Adams,WR,1,2,2.2,3,0.4
3,LAR,Cooper Kupp,WR,2,2,3.0,5,0.8
4,MIN,Dalvin Cook,RB,2,1,3.1,4,1.2
5,CAR,Christian McCaffrey,RB,3,4,4.9,5,0.3
6,KC,Tyreek Hill,WR,3,6,6.2,8,0.6
7,PIT,Najee Harris,RB,4,6,6.9,8,0.6
8,LAC,Austin Ekeler,RB,5,7,7.7,9,0.7
9,NO,Alvin Kamara,RB,6,8,8.8,9,0.4
10,GB,Aaron Jones,RB,7,10,10.0,10,0.0
11,TEN,A.J. Brown,WR,4,11,12.7,15,1.3
12,DAL,Ezekiel Elliott,RB,8,13,13.0,13,0.0
13,KC,Travis Kelce,TE,1,11,13.7,23,5.0
14,TB,Chris Godwin,WR,5,12,15.3,23,3.0
15,BUF,Stefon Diggs,WR,6,12,15.6,24,3.2
16,TB,Mike Evans,WR,7,15,17.1,25,2.9
17,IND,Michael Pittman Jr.,WR,8,15,17.8,24,3.4
18,ATL,Cordarrelle Patterson,RB,9,18,18.9,20,0.9
19,MIN,Justin Jefferson,WR,9,16,19.0,22,2.3
20,LAR,Darrell Henderson Jr.,RB,10,19,21.3,26,2.6
21,DAL,CeeDee Lamb,WR,10,20,22.1,24,1.3
22,LV,Darren Waller,TE,2,21,22.1,26,2.1
23,SEA,D.K. Metcalf,WR,11,14,23.4,28,3.6
24,ARI,James Conner,RB,11,19,24.1,37,5.5
25,DET,D'Andre Swift,RB,12,24,26.0,27,1.1
26,WAS,Terry McLaurin,WR,12,22,26.2,29,2.7
27,BAL,Marquise Brown,WR,13,23,28.0,34,3.4
28,SF,Deebo Samuel,WR,14,27,28.4,31,1.3
29,PIT,Diontae Johnson,WR,15,17,31.6,38,5.7
30,DAL,Amari Cooper,WR,16,30,32.0,34,1.4
31,LAC,Keenan Allen,WR,17,30,32.2,38,2.7
32,SEA,Tyler Lockett,WR,18,31,33.4,40,2.8
33,TB,Leonard Fournette,RB,13,27,34.1,41,4.0
34,JAC,James Robinson,RB,14,26,34.3,46,5.1
35,ARI,DeAndre Hopkins,WR,19,31,34.4,36,1.4
36,SF,Elijah Mitchell,RB,15,29,37.7,43,5.1
37,LV,Josh Jacobs,RB,16,32,37.9,43,4.0
38,LAC,Mike Williams,WR,20,36,38.1,41,2.1
39,LAR,Robert Woods,WR,21,36,38.9,45,2.3
40,MIN,Adam Thielen,WR,22,35,39.4,44,2.2
41,CAR,D.J. Moore,WR,23,38,41.4,47,3.4
42,SF,George Kittle,TE,3,37,41.8,50,3.5
43,NE,Damien Harris,RB,17,35,43.9,49,4.1
44,PIT,Chase Claypool,WR,24,40,44.6,47,1.9
45,MIA,Jaylen Waddle,WR,25,44,46.2,50,2.3
46,DEN,Melvin Gordon III,RB,18,42,48.6,52,2.9
47,LV,Hunter Renfrow,WR,26,47,48.8,54,2.8
48,DEN,Jerry Jeudy,WR,27,45,50.1,55,3.3
49,KC,Darrel Williams,RB,19,43,51.0,53,2.9
50,BAL,Mark Andrews,TE,4,42,51.3,58,4.5
51,PHI,DeVonta Smith,WR,28,48,53.1,55,2.8
52,NYJ,Michael Carter,RB,20,46,53.7,65,6.3
53,BUF,Emmanuel Sanders,WR,29,54,55.3,57,1.1
54,DEN,Courtland Sutton,WR,30,48,55.4,59,3.1
55,DEN,Javonte Williams,RB,21,51,56.6,66,6.3
56,ATL,Kyle Pitts,TE,5,50,57.1,58,2.5
57,MIA,Myles Gaskin,RB,22,49,57.6,65,6.8
58,BUF,Cole Beasley,WR,31,56,58.9,63,2.1
59,TEN,Julio Jones,WR,32,57,60.2,64,2.5
60,MIA,Mike Gesicki,TE,6,62,63.6,70,2.4
61,ARI,Christian Kirk,WR,33,60,63.8,72,4.8
62,DET,T.J. Hockenson,TE,7,62,63.8,66,1.5
63,BAL,Devonta Freeman,RB,23,57,65.2,68,4.4
64,BAL,Rashod Bateman,WR,34,60,65.6,72,4.3
65,SF,Brandon Aiyuk,WR,35,60,66.6,75,5.8
66,CLE,Jarvis Landry,WR,36,57,67.8,73,5.9
67,BUF,Devin Singletary,RB,24,62,68.9,79,5.0
68,WAS,Antonio Gibson,RB,25,61,69.2,80,6.8
69,SEA,Alex Collins,RB,26,66,69.2,74,2.8
70,PHI,Dallas Goedert,TE,8,64,69.6,71,2.0
71,JAC,Marvin Jones Jr.,WR,37,59,71.0,76,5.6
72,DAL,Dalton Schultz,TE,9,71,72.8,78,2.8
73,BUF,Zack Moss,RB,27,67,74.8,80,5.8
74,NYJ,Corey Davis,WR,38,73,75.2,77,1.2
75,WAS,J.D. McKissic,RB,28,69,75.4,79,4.6
76,PHI,Jordan Howard,RB,29,69,79.2,86,4.7
77,CLE,Nick Chubb,RB,30,16,22.9,46,9.9
78,IND,T.Y. Hilton,WR,39,74,79.6,90,5.2
79,LAR,Van Jefferson,WR,40,63,79.7,91,7.5
80,PIT,Pat Freiermuth,TE,10,70,80.8,89,7.3
81,GB,AJ Dillon,RB,31,74,80.8,82,2.6
82,NYJ,Elijah Moore,WR,41,77,81.4,85,2.8
83,NYJ,Jamison Crowder,WR,42,77,83.0,91,4.9
84,NO,Marquez Callaway,WR,43,77,84.3,91,4.1
85,DAL,Tony Pollard,RB,32,83,88.1,95,4.7
86,NE,Jakobi Meyers,WR,44,73,89.0,98,7.0
87,NE,Hunter Henry,TE,11,85,89.1,96,3.3
88,JAC,Dan Arnold,TE,12,87,89.3,96,2.5
89,DAL,Michael Gallup,WR,45,81,90.0,100,6.0
90,LAR,Tyler Higbee,TE,13,88,91.4,93,1.6
91,IND,Nyheim Hines,RB,33,86,92.6,102,6.4
92,ATL,Russell Gage,WR,46,85,93.6,101,4.8
93,CLE,Donovan Peoples-Jones,WR,47,90,95.0,111,6.1
94,DEN,Tim Patrick,WR,48,92,95.1,98,2.4
95,ARI,Zach Ertz,TE,14,87,96.0,105,4.6
96,DEN,Noah Fant,TE,15,88,96.4,105,7.4
97,TEN,Adrian Peterson,RB,34,86,97.3,104,5.7
98,ARI,Rondale Moore,WR,49,96,98.7,103,2.3
99,KC,Mecole Hardman,WR,50,94,99.3,103,2.6
100,PHI,Boston Scott,RB,35,83,102.1,109,8.2
101,TEN,Jeremy McNichols,RB,36,83,102.4,115,7.8
102,ARI,A.J. Green,WR,51,100,102.4,107,2.3
103,MIN,Tyler Conklin,TE,16,99,102.8,110,4.5
104,LV,Kenyan Drake,RB,37,95,103.4,108,4.0
105,LV,Bryan Edwards,WR,52,94,104.0,111,4.5
106,CLE,D'Ernest Johnson,RB,38,20,105.3,132,42.7
107,JAC,Laviska Shenault Jr.,WR,53,100,106.7,111,2.9
108,GB,Allen Lazard,WR,54,103,108.1,114,3.4
109,TB,Rob Gronkowski,TE,17,76,87.3,105,9.7
110,LAC,Jared Cook,TE,18,105,108.7,113,2.8
111,IND,Zach Pascal,WR,55,97,108.8,112,4.5
112,JAC,Jamal Agnew,WR,56,106,110.7,116,3.0
113,DET,Jamaal Williams,RB,39,98,114.3,132,11.5
114,NE,Nelson Agholor,WR,57,114,115.2,118,1.0
115,BAL,Sammy Watkins,WR,58,113,115.8,119,1.6
116,GB,Randall Cobb,WR,59,112,116.0,119,2.6
117,IND,Mo Alie-Cox,TE,19,111,116.2,136,7.2
118,NO,Deonte Harris,WR,60,113,117.9,127,5.3
119,NYJ,Ty Johnson,RB,40,109,118.7,129,4.8
120,GB,Marquez Valdes-Scantling,WR,61,119,120.1,121,0.6
121,CAR,Robby Anderson,WR,62,122,122.2,123,0.4
122,JAC,Carlos Hyde,RB,41,117,122.3,132,4.3
123,NO,Mark Ingram II,RB,42,118,122.3,125,3.1
124,NO,Tre'Quan Smith,WR,63,122,123.3,126,1.5
125,ATL,Mike Davis,RB,43,109,124.1,132,5.9
126,DET,Amon-Ra St. Brown,WR,64,123,124.8,126,1.3
127,NE,Kendrick Bourne,WR,65,126,127.9,130,1.5
128,WAS,Logan Thomas,TE,20,99,128.7,154,23.4
129,NE,Rhamondre Stevenson,RB,44,125,128.9,136,3.2
130,MIN,K.J. Osborn,WR,66,126,129.3,131,1.6
131,ATL,Tajae Sharpe,WR,67,120,129.7,134,4.7
132,ATL,Olamide Zaccheaus,WR,68,131,133.3,135,1.1
133,PHI,Quez Watkins,WR,69,133,133.9,135,0.9
134,CAR,Chuba Hubbard,RB,45,127,135.6,159,10.2
135,PHI,Kenneth Gainwell,RB,46,132,138.1,141,2.6
136,NYJ,Keelan Cole Sr.,WR,70,134,138.8,144,3.4
137,CLE,David Njoku,TE,21,117,139.0,153,13.4
138,NE,Brandon Bolden,RB,47,138,139.4,143,1.5
139,LAR,Sony Michel,RB,48,139,141.0,146,2.5
140,TB,Ronald Jones II,RB,49,136,143.4,148,4.1
141,BUF,Gabriel Davis,WR,71,138,143.7,151,4.4
142,MIN,Alexander Mattison,RB,50,138,144.0,150,4.0
143,NO,Adam Trautman,TE,22,113,144.2,153,12.5
144,ARI,Eno Benjamin,RB,51,128,144.2,159,12.1
145,KC,Byron Pringle,WR,72,139,146.9,152,4.6
146,TB,Giovani Bernard,RB,52,145,147.9,155,3.3
147,MIA,Salvon Ahmed,RB,53,146,149.7,157,3.7
148,LV,Zay Jones,WR,73,134,150.8,166,8.8
149,BAL,Le'Veon Bell,RB,54,146,150.8,159,5.0
150,SF,JaMycal Hasty,RB,55,145,151.2,157,4.7
151,PHI,Jalen Reagor,WR,74,144,151.6,167,6.5
152,NE,Jonnu Smith,TE,23,136,151.9,189,16.2
153,LAC,Donald Parham Jr.,TE,24,135,153.1,163,7.8
154,TEN,D'Onta Foreman,RB,56,142,155.3,169,10.3
155,KC,Derrick Gore,RB,57,147,155.9,164,7.2
156,TB,O.J. Howard,TE,25,149,158.0,162,4.1
157,BAL,Latavius Murray,RB,58,121,158.2,179,15.6
158,DAL,Cedrick Wilson Jr.,WR,75,142,161.1,203,22.9
159,TB,Antonio Brown,WR,76,119,128.1,135,6.3
160,CLE,Rashard Higgins,WR,77,155,163.6,174,7.2
