RK,Team,Name,Position,Position Rank,Ceiling,Average,Floor,Standard Deviation
1,IND,Jonathan Taylor,RB,1,1,1.3,3,0.7
2,LAR,Cooper Kupp,WR,1,1,2.0,5,0.6
3,NO,Alvin Kamara,RB,2,1,3.3,6,1.0
4,LAC,Austin Ekeler,RB,3,2,5.1,11,2.0
5,KC,Tyreek Hill,WR,2,4,5.4,8,0.9
6,MIN,Dalvin Cook,RB,4,3,5.9,9,1.7
7,PIT,Najee Harris,RB,5,4,7.6,11,1.7
8,GB,Aaron Jones,RB,6,4,8.3,15,2.7
9,CIN,Ja'Marr Chase,WR,3,8,9.5,14,1.7
10,BUF,Stefon Diggs,WR,4,5,9.9,14,2.0
11,DAL,Ezekiel Elliott,RB,7,4,10.5,20,2.5
12,LAR,Darrell Henderson Jr.,RB,8,6,12.4,15,1.7
13,TEN,A.J. Brown,WR,5,10,13.2,17,1.9
14,MIN,Justin Jefferson,WR,6,12,15.2,18,1.7
15,GB,Davante Adams,WR,7,6,15.4,24,4.1
16,SF,Deebo Samuel,WR,8,10,18.3,31,5.5
17,CLE,Nick Chubb,RB,9,12,18.3,26,4.7
18,DAL,CeeDee Lamb,WR,9,13,18.7,31,4.1
19,PIT,Diontae Johnson,WR,10,16,19.0,24,2.1
20,KC,Travis Kelce,TE,1,16,19.0,22,0.9
21,CIN,Joe Mixon,RB,10,15,19.4,26,3.5
22,LV,Darren Waller,TE,2,20,23.4,40,4.8
23,LAC,Keenan Allen,WR,11,17,23.6,30,3.0
24,CAR,D.J. Moore,WR,12,20,25.2,38,4.0
25,BAL,Marquise Brown,WR,13,21,26.6,31,2.8
26,IND,Michael Pittman Jr.,WR,14,23,26.9,32,2.5
27,LAC,Mike Williams,WR,15,21,27.9,34,3.4
28,NE,Damien Harris,RB,11,14,28.6,37,4.4
29,MIN,Adam Thielen,WR,16,21,29.1,38,3.4
30,DAL,Amari Cooper,WR,17,24,29.8,35,2.8
31,LAR,Robert Woods,WR,18,24,32.4,40,3.3
32,NYJ,Michael Carter,RB,12,27,32.6,37,2.9
33,ATL,Cordarrelle Patterson,RB,13,17,33.1,116,17.0
34,HOU,Brandin Cooks,WR,19,29,35.6,42,2.9
35,CIN,Tee Higgins,WR,20,30,36.0,42,2.7
36,LV,Josh Jacobs,RB,14,27,37.7,52,6.3
37,PIT,Chase Claypool,WR,21,35,40.4,47,2.4
38,SF,Elijah Mitchell,RB,15,27,40.8,58,8.7
39,DEN,Courtland Sutton,WR,22,34,41.4,47,3.0
40,BAL,Mark Andrews,TE,3,22,41.9,54,6.5
41,MIA,Jaylen Waddle,WR,23,33,42.2,56,4.5
42,NYG,Devontae Booker,RB,16,34,42.6,53,5.5
43,BUF,Emmanuel Sanders,WR,24,39,44.9,60,4.3
44,BUF,Zack Moss,RB,17,34,45.3,54,4.9
45,DEN,Jerry Jeudy,WR,25,42,46.9,64,4.9
46,ATL,Kyle Pitts,TE,4,39,47.2,57,5.1
47,MIA,Myles Gaskin,RB,18,34,47.6,65,7.8
48,ARI,Chase Edmonds,RB,19,38,49.4,53,3.6
49,BUF,Cole Beasley,WR,26,44,50.9,62,4.5
50,NYG,Kadarius Toney,WR,27,41,51.6,64,6.5
51,CLE,Jarvis Landry,WR,28,42,53.6,67,7.4
52,LV,Hunter Renfrow,WR,29,41,54.6,76,8.0
53,PHI,Dallas Goedert,TE,5,48,56.0,60,2.4
54,MIA,Mike Gesicki,TE,6,45,56.4,82,6.7
55,PHI,Boston Scott,RB,20,38,57.6,78,8.9
56,KC,Darrel Williams,RB,21,45,57.6,80,9.4
57,PHI,DeVonta Smith,WR,30,44,57.7,70,5.2
58,JAC,Marvin Jones Jr.,WR,31,49,59.0,73,6.9
59,CIN,Tyler Boyd,WR,32,54,60.0,68,3.3
60,ARI,Christian Kirk,WR,33,51,60.3,71,5.5
61,CHI,Khalil Herbert,RB,22,37,60.9,94,15.8
62,DEN,Melvin Gordon III,RB,23,53,62.8,71,4.0
63,LAR,Van Jefferson,WR,34,50,63.1,74,5.5
64,DEN,Javonte Williams,RB,24,53,64.9,75,4.9
65,NE,Jakobi Meyers,WR,35,57,64.9,73,4.0
66,NYJ,Jamison Crowder,WR,36,56,66.7,80,5.6
67,DAL,Dalton Schultz,TE,7,57,69.8,86,6.3
68,ARI,James Conner,RB,25,62,71.0,82,5.1
69,CHI,Darnell Mooney,WR,37,64,72.8,81,4.3
70,BAL,Rashod Bateman,WR,38,62,73.4,96,7.5
71,CAR,Christian McCaffrey,RB,26,13,57.6,209,51.5
72,ARI,Rondale Moore,WR,39,60,74.8,100,8.8
73,GB,AJ Dillon,RB,27,65,77.5,98,8.0
74,SF,George Kittle,TE,8,63,77.8,95,9.0
75,TEN,Jeremy McNichols,RB,28,60,77.9,101,11.2
76,NO,Marquez Callaway,WR,40,70,78.8,89,4.4
77,KC,Mecole Hardman,WR,41,71,80.5,98,5.8
78,CHI,Allen Robinson II,WR,42,71,81.2,100,7.0
79,DEN,Tim Patrick,WR,43,76,83.9,97,5.0
80,DAL,Tony Pollard,RB,29,71,84.1,104,10.1
81,BUF,Devin Singletary,RB,30,74,84.3,98,6.7
82,JAC,Laviska Shenault Jr.,WR,44,77,84.3,96,4.4
83,LV,Bryan Edwards,WR,45,74,84.7,129,14.2
84,CAR,Chuba Hubbard,RB,31,38,85.0,133,22.2
85,LAR,Tyler Higbee,TE,9,72,86.4,95,5.7
86,NE,Hunter Henry,TE,10,72,90.5,113,7.9
87,JAC,Carlos Hyde,RB,32,59,91.1,131,19.6
88,ATL,Mike Davis,RB,33,68,91.6,108,9.4
89,ARI,Zach Ertz,TE,11,75,92.5,114,6.3
90,TEN,Adrian Peterson,RB,34,76,92.9,107,6.8
91,IND,Zach Pascal,WR,46,79,94.4,119,12.0
92,ATL,Russell Gage,WR,47,81,95.5,121,9.8
93,SF,Brandon Aiyuk,WR,48,68,96.4,126,14.7
94,NE,Nelson Agholor,WR,49,78,96.4,115,8.8
95,JAC,Jamal Agnew,WR,50,69,98.5,119,10.2
96,NYG,Kenny Golladay,WR,51,71,98.7,179,26.3
97,LAC,Jared Cook,TE,12,88,102.6,125,11.4
98,NYJ,Ty Johnson,RB,35,89,102.7,116,5.7
99,TEN,Julio Jones,WR,52,56,88.7,242,41.8
100,CAR,Robby Anderson,WR,53,86,103.8,121,8.0
101,PIT,Pat Freiermuth,TE,13,89,104.1,121,9.7
102,CLE,D'Ernest Johnson,RB,36,77,104.2,125,8.2
103,IND,Nyheim Hines,RB,37,95,104.6,116,5.7
104,ATL,Tajae Sharpe,WR,54,84,104.6,130,11.9
105,BAL,Devonta Freeman,RB,38,76,104.9,144,14.4
106,CIN,C.J. Uzomah,TE,14,92,106.3,122,9.7
107,MIN,Tyler Conklin,TE,15,87,106.9,122,9.1
108,PHI,Kenneth Gainwell,RB,39,92,107.8,142,10.5
109,JAC,Dan Arnold,TE,16,90,108.0,122,8.1
110,NYJ,Elijah Moore,WR,55,86,108.4,126,10.6
111,MIN,K.J. Osborn,WR,56,90,110.6,129,8.9
112,NYG,Darius Slayton,WR,57,86,111.2,137,13.8
113,NYG,Evan Engram,TE,17,95,112.6,126,8.2
114,LV,Kenyan Drake,RB,40,88,114.4,133,10.8
115,HOU,David Johnson,RB,41,88,115.8,146,14.8
116,DEN,Albert Okwuegbunam,TE,18,89,109.5,192,18.0
117,NE,Kendrick Bourne,WR,58,103,116.3,128,5.8
118,PHI,Jordan Howard,RB,42,98,117.9,148,12.8
119,PHI,Quez Watkins,WR,59,100,118.1,139,8.9
120,NO,Mark Ingram II,RB,43,103,119.5,137,9.2
121,HOU,Nico Collins,WR,60,109,121.3,131,4.8
122,IND,Mo Alie-Cox,TE,19,111,122.1,138,5.3
