"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"165",8,"Justin Fields",CHI,"QB22","10","2 out of 5 stars","-9"
"166",8,"Baltimore Ravens",BAL,"DST3","8","2 out of 5 stars","-53"
"167",8,"Anthony Firkser",TEN,"TE24","13","2 out of 5 stars","+32"
"168",8,"Derek Carr",LV,"QB23","8","3 out of 5 stars","+17"
"169",8,"John Brown",LV,"WR65","8","1 out of 5 stars","+24"
"170",8,"Gabriel Davis",BUF,"WR66","7","3 out of 5 stars","+13"
"171",8,"Emmanuel Sanders",BUF,"WR67","7","3 out of 5 stars","+35"
"172",8,"Christian Kirk",ARI,"WR68","12","2 out of 5 stars","+30"
"173",8,"Eric Ebron",PIT,"TE25","7","5 out of 5 stars","+45"
"174",8,"Washington Football Team",WAS,"DST4","9","2 out of 5 stars","-67"
"175",8,"Zach Ertz",PHI,"TE26","14","3 out of 5 stars","-29"
"176",8,"Justin Tucker",BAL,"K1","8","4 out of 5 stars","-58"
"177",8,"San Francisco 49ers",SF,"DST5","6","3 out of 5 stars","-41"
"178",8,"Parris Campbell",IND,"WR69","14","5 out of 5 stars","+95"
"179",8,"Tampa Bay Buccaneers",TB,"DST6","9","5 out of 5 stars","-65"
"180",8,"Indianapolis Colts",IND,"DST7","14","2 out of 5 stars","-47"
"181",8,"Jakobi Meyers",NE,"WR70","14","4 out of 5 stars","+112"
"182",8,"Breshad Perriman",DET,"WR71","9","1 out of 5 stars","+74"
"183",8,"Marlon Mack",IND,"RB55","14","4 out of 5 stars","-28"
"184",8,"Harrison Butker",KC,"K2","12","2 out of 5 stars","-56"
"185",8,"Sam Darnold",CAR,"QB24","13","4 out of 5 stars","+50"
"186",8,"Kenneth Gainwell",PHI,"RB56","14","3 out of 5 stars","+8"
"187",8,"Sony Michel",NE,"RB57","14","3 out of 5 stars","+23"
"188",8,"Younghoe Koo",ATL,"K3","6","3 out of 5 stars","-53"
"189",8,"Salvon Ahmed",MIA,"RB58","14","4 out of 5 stars","+38"
"190",8,"Trey Lance",SF,"QB25","6","5 out of 5 stars","-18"
"191",8,"Rondale Moore",ARI,"WR72","12","2 out of 5 stars","+24"
"192",8,"New England Patriots",NE,"DST8","14","0 out of 5 stars","+4"
"193",8,"Buffalo Bills",BUF,"DST9","7","3 out of 5 stars","-35"
"194",8,"Greg Zuerlein",DAL,"K4","7","4 out of 5 stars","-41"
"195",8,"Darius Slayton",NYG,"WR73","10","3 out of 5 stars","+52"
"196",8,"Darrel Williams",KC,"RB59","12","4 out of 5 stars","-8"
"197",8,"Zach Wilson",NYJ,"QB26","6","3 out of 5 stars","-5"
"198",9,"New Orleans Saints",NO,"DST10","6","3 out of 5 stars","+73"
"199",9,"Allen Lazard",GB,"WR74","13","1 out of 5 stars","+32"
"200",9,"Kansas City Chiefs",KC,"DST11","12","1 out of 5 stars","-19"
"201",9,"Darrynton Evans",TEN,"RB60","13","3 out of 5 stars","+21"
"202",9,"Malcolm Brown",MIA,"RB61","14","4 out of 5 stars","+48"
"203",9,"Bryan Edwards",LV,"WR75","8","1 out of 5 stars","+8"
"204",9,"Amon-Ra St. Brown",DET,"WR76","9","1 out of 5 stars","-3"
"205",9,"A.J. Green",ARI,"WR77","12","2 out of 5 stars","-18"
"206",9,"Damien Williams",CHI,"RB62","10","3 out of 5 stars","-31"
"207",9,"Terrace Marshall Jr.",CAR,"WR78","13","5 out of 5 stars","+21"
"208",9,"Randall Cobb",GB,"WR79","13","1 out of 5 stars","-19"
"209",9,"Jason Sanders",MIA,"K5","14","4 out of 5 stars","-57"
"210",9,"Hayden Hurst",ATL,"TE27","6","2 out of 5 stars","+33"
"211",9,"Carson Wentz",IND,"QB27","14","4 out of 5 stars","+53"
"212",9,"Jared Goff",DET,"QB28","9","1 out of 5 stars","+5"
"213",9,"Sammy Watkins",BAL,"WR80","8","2 out of 5 stars","0"
"214",9,"Joshua Kelley",LAC,"RB63","7","4 out of 5 stars","+142"
"215",9,"Marquez Valdes-Scantling",GB,"WR81","13","1 out of 5 stars","+76"
"216",9,"Chuba Hubbard",CAR,"RB64","13","2 out of 5 stars","-43"
"217",9,"Chicago Bears",CHI,"DST12","10","2 out of 5 stars","+44"
"218",9,"Los Angeles Chargers",LAC,"DST13","7","4 out of 5 stars","+35"
"219",9,"Denver Broncos",DEN,"DST14","11","2 out of 5 stars","-35"
"220",9,"Wil Lutz",NO,"K6","6","4 out of 5 stars","-54"
"221",9,"Matt Prater",ARI,"K7","12","4 out of 5 stars","-7"
"222",9,"Miami Dolphins",MIA,"DST15","14","2 out of 5 stars","-19"
"223",9,"Cam Newton",NE,"QB29","14","5 out of 5 stars","-18"
"224",9,"Rodrigo Blankenship",IND,"K8","14","3 out of 5 stars","-62"
"225",9,"Cleveland Browns",CLE,"DST16","13","3 out of 5 stars","-57"
"226",9,"Justin Jackson",LAC,"RB65","7","4 out of 5 stars","+3"
"227",9,"Robbie Gould",SF,"K9","6","4 out of 5 stars","-45"
"228",9,"Tyler Bass",BUF,"K10","7","3 out of 5 stars","-78"
"229",9,"Ryan Succop",TB,"K11","9","2 out of 5 stars","-59"
"230",9,"Denzel Mims",NYJ,"WR82","6","4 out of 5 stars","+24"
"231",9,"Dawson Knox",BUF,"TE28","7","2 out of 5 stars","+126"
"232",9,"Jason Myers",SEA,"K12","9","4 out of 5 stars","+26"
"233",9,"Tyrell Williams",DET,"WR83","9","1 out of 5 stars","+46"
"234",9,"Boston Scott",PHI,"RB66","14","3 out of 5 stars","+7"
"235",9,"Josh Reynolds",TEN,"WR84","13","3 out of 5 stars","+43"
"236",9,"Jameis Winston",NO,"QB30","6","3 out of 5 stars","-4"
"237",9,"Taysom Hill",NO,"QB31","6","3 out of 5 stars","-76"
"238",9,"Green Bay Packers",GB,"DST17","13","5 out of 5 stars","+32"
"239",9,"Benny Snell Jr.",PIT,"RB67","7","5 out of 5 stars","-19"
"240",9,"Seattle Seahawks",SEA,"DST18","9","4 out of 5 stars","-36"
"241",9,"Van Jefferson",LAR,"WR85","11","5 out of 5 stars","+70"
"242",9,"O.J. Howard",TB,"TE29","9","3 out of 5 stars","-12"
"243",9,"Mark Ingram II",HOU,"RB68","10","4 out of 5 stars","-57"
"244",9,"Carlos Hyde",JAC,"RB69","7","4 out of 5 stars","+39"
"245",9,"Mason Crosby",GB,"K13","13","0 out of 5 stars","-55"
"246",9,"Michael Badgley",LAC,"K14","7","2 out of 5 stars","+21"
"247",9,"Minnesota Vikings",MIN,"DST19","7","3 out of 5 stars","+2"
"248",9,"DeSean Jackson",LAR,"WR86","11","5 out of 5 stars","+15"
"249",9,"Tim Patrick",DEN,"WR87","11","4 out of 5 stars","+33"
"250",9,"Anthony Miller",HOU,"WR88","10","3 out of 5 stars","+66"
"251",9,"Devontae Booker",NYG,"RB70","10","2 out of 5 stars","-35"
"252",9,"Hunter Renfrow",LV,"WR89","8","1 out of 5 stars","+45"
"253",10,"Philadelphia Eagles",PHI,"DST20","14","4 out of 5 stars","+68"
"254",10,"KJ Hamler",DEN,"WR90","11","4 out of 5 stars","+66"
"255",10,"Kadarius Toney",NYG,"WR91","10","3 out of 5 stars","-31"
"256",10,"Jeff Wilson Jr.",SF,"RB71","6","3 out of 5 stars","-35"
"257",10,"Dan Arnold",CAR,"TE30","13","4 out of 5 stars","+51"
"258",10,"Brandon McManus",DEN,"K15","11","1 out of 5 stars","+2"
"259",10,"Daniel Carlson",LV,"K16","8","2 out of 5 stars","-21"
"260",10,"Jerick McKinnon",KC,"RB72","12","4 out of 5 stars","-9"
"261",10,"Rhamondre Stevenson",NE,"RB73","14","3 out of 5 stars","+31"
"262",10,"Chris Herndon IV",NYJ,"TE31","6","3 out of 5 stars","+114"
