"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"95","Boston Scott",PHI,"RB34","83","100","92.7","5.9"
"96","Bryan Edwards",LV,"WR51","88","95","92.9","1.9"
"97","D'Onta Foreman",TEN,"RB35","72","113","95.1","12.3"
"98","Damien Harris",NE,"RB36","53","130","95.3","23.8"
"99","Jamal Agnew",JAC,"WR52","95","111","97.0","5.0"
"100","Alex Collins",SEA,"RB37","97","113","100.1","4.9"
"101","Kenyan Drake",LV,"RB38","98","107","100.7","2.8"
"102","Dallas Goedert",PHI,"TE12","86","106","101.4","7.0"
"103","Robby Anderson",CAR,"WR53","88","114","101.8","6.1"
"104","Adrian Peterson",TEN,"RB39","99","107","102.8","2.6"
"105","Tyler Boyd",CIN,"WR54","82","112","103.0","11.0"
"106","Dan Arnold",JAC,"TE13","105","109","106.1","1.1"
"107","Deonte Harris",NO,"WR55","100","111","108.6","4.0"
"108","Allen Lazard",GB,"WR56","104","131","109.1","8.1"
"109","Zach Ertz",ARI,"TE14","105","120","110.1","4.0"
"110","Brandon Bolden",NE,"RB40","101","137","111.3","12.5"
"111","Tyler Conklin",MIN,"TE15","109","127","111.4","5.6"
"112","Rondale Moore",ARI,"WR57","108","125","112.0","5.3"
"113","Laviska Shenault Jr.",JAC,"WR58","96","116","112.6","6.3"
"114","Nelson Agholor",NE,"WR59","109","114","113.1","1.7"
"115","Nyheim Hines",IND,"RB41","103","121","113.4","4.4"
"116","Tre'Quan Smith",NO,"WR60","116","120","117.2","1.0"
"117","Ty Johnson",NYJ,"RB42","115","135","120.2","6.0"
"118","Marquez Valdes-Scantling",GB,"WR61","118","126","120.3","2.8"
"119","Randall Cobb",GB,"WR62","118","135","120.6","5.3"
"120","Sterling Shepard",NYG,"WR63","78","145","121.6","25.8"
"121","Amon-Ra St. Brown",DET,"WR64","119","124","123.4","1.6"
"122","Jared Cook",LAC,"TE16","120","141","124.0","6.9"
"123","Jeremy McNichols",TEN,"RB43","113","136","124.2","6.4"
"124","Eno Benjamin",ARI,"RB44","115","134","124.3","7.6"
"125","Quez Watkins",PHI,"WR65","117","130","125.4","3.4"
"126","Mike Davis",ATL,"RB45","94","142","125.9","12.8"
"127","Wayne Gallman Jr.",ATL,"RB46","89","144","126.0","21.6"
"128","James Washington",PIT,"WR66","97","139","126.4","11.9"
"129","Marcus Johnson",TEN,"WR67","114","133","127.2","4.9"
"130","Adam Trautman",NO,"TE17","122","138","127.6","6.9"
"131","Zach Pascal",IND,"WR68","126","139","129.6","4.2"
"132","Gabriel Davis",BUF,"WR69","129","142","131.8","4.0"
"133","Jeff Wilson Jr.",SF,"RB47","97","183","132.9","25.2"
"134","Olamide Zaccheaus",ATL,"WR70","132","135","133.2","1.4"
"135","Evan Engram",NYG,"TE18","120","146","134.6","6.9"
"136","K.J. Osborn",MIN,"WR71","132","139","136.0","2.3"
"137","Austin Hooper",CLE,"TE19","131","152","138.6","7.6"
"138","Tajae Sharpe",ATL,"WR72","133","151","140.7","4.5"
"139","Carlos Hyde",JAC,"RB48","134","162","141.2","8.6"
"140","C.J. Uzomah",CIN,"TE20","122","158","142.0","10.8"
"141","Sammy Watkins",BAL,"WR73","132","149","142.9","4.5"
"142","Ray-Ray McCloud",PIT,"WR74","123","157","143.3","11.1"
"143","Kenneth Gainwell",PHI,"RB49","134","165","143.7","8.9"
"144","Mo Alie-Cox",IND,"TE21","127","189","145.7","21.9"
"145","Cole Kmet",CHI,"TE22","120","159","147.2","14.9"
"146","Jalen Reagor",PHI,"WR75","146","150","147.9","1.7"
"147","Chuba Hubbard",CAR,"RB50","141","168","148.0","9.6"
"148","Giovani Bernard",TB,"RB51","143","156","148.0","5.1"
"149","Alexander Mattison",MIN,"RB52","143","156","148.3","3.1"
"150","David Johnson",HOU,"RB53","138","156","149.7","6.5"
"151","DeSean Jackson",LV,"WR76","149","163","151.2","4.2"
"152","Devontae Booker",NYG,"RB54","137","164","155.2","10.2"
"153","DeAndre Carter",WAS,"WR77","151","170","155.2","6.2"
"154","Keelan Cole Sr.",NYJ,"WR78","146","162","156.1","4.1"
"155","Byron Pringle",KC,"WR79","151","184","156.4","10.5"
"156","Ricky Seals-Jones",WAS,"TE23","131","171","144.0","14.6"
