"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1","Derrick Henry",TEN,"RB1","1","1","1.0","0.0"
"2","Davante Adams",GB,"WR1","2","3","2.8","0.4"
"3","Alvin Kamara",NO,"RB2","2","7","3.0","1.7"
"4","Tyreek Hill",KC,"WR2","4","5","4.1","0.3"
"5","Cooper Kupp",LAR,"WR3","4","5","4.9","0.3"
"6","Travis Kelce",KC,"TE1","6","7","6.5","0.5"
"7","Aaron Jones",GB,"RB3","2","12","6.9","2.4"
"8","Darrell Henderson Jr.",LAR,"RB4","6","12","9.6","2.3"
"9","Jonathan Taylor",IND,"RB5","6","14","9.7","2.4"
"10","DeAndre Hopkins",ARI,"WR4","9","14","10.1","1.2"
"11","D.J. Moore",CAR,"WR5","9","20","10.6","2.4"
"12","Ja'Marr Chase",CIN,"WR6","9","20","12.5","3.1"
"13","Deebo Samuel",SF,"WR7","9","21","14.4","3.5"
"14","Joe Mixon",CIN,"RB6","13","31","15.1","3.7"
"15","Calvin Ridley",ATL,"WR8","10","22","15.2","3.2"
"16","D'Andre Swift",DET,"RB7","12","20","17.0","1.9"
"17","Leonard Fournette",TB,"RB8","12","23","17.1","3.1"
"18","Darren Waller",LV,"TE2","16","28","19.6","4.4"
"19","Terry McLaurin",WAS,"WR9","13","25","19.8","3.1"
"20","Darrel Williams",KC,"RB9","17","35","20.6","3.9"
"21","A.J. Brown",TEN,"WR10","10","28","22.4","5.0"
"22","Mike Evans",TB,"WR11","20","27","22.9","2.0"
"23","Mark Andrews",BAL,"TE3","16","33","23.4","4.9"
"24","Chris Godwin",TB,"WR12","20","29","24.2","2.3"
"25","Cordarrelle Patterson",ATL,"RB10","15","44","25.4","8.9"
"26","Antonio Brown",TB,"WR13","24","30","26.3","1.5"
"27","D.K. Metcalf",SEA,"WR14","22","30","26.3","2.1"
"28","Josh Jacobs",LV,"RB11","18","35","27.0","6.0"
"29","Chuba Hubbard",CAR,"RB12","16","37","27.5","7.4"
"30","Marquise Brown",BAL,"WR15","22","32","27.6","2.3"
"31","Robert Woods",LAR,"WR16","24","35","29.7","2.2"
"32","Courtland Sutton",DEN,"WR17","27","34","30.3","1.9"
"33","Brandin Cooks",HOU,"WR18","29","36","32.1","1.9"
"34","Damien Harris",NE,"RB13","18","40","33.4","4.5"
"35","Jaylen Waddle",MIA,"WR19","30","39","34.6","2.0"
"36","DeVonta Smith",PHI,"WR20","33","41","34.9","2.3"
"37","Elijah Mitchell",SF,"RB14","35","49","40.1","3.3"
"38","Chase Edmonds",ARI,"RB15","33","49","40.3","3.7"
"39","Tee Higgins",CIN,"WR21","36","53","40.7","4.7"
"40","Antonio Gibson",WAS,"RB16","36","57","42.3","5.1"
"41","Michael Pittman Jr.",IND,"WR22","36","56","42.4","4.3"
"42","Tyler Lockett",SEA,"WR23","36","52","42.5","4.0"
"43","James Conner",ARI,"RB17","38","48","43.3","3.1"
"44","Mike Davis",ATL,"RB18","36","58","44.8","5.2"
"45","Sterling Shepard",NYG,"WR24","39","57","46.8","5.2"
"46","Devontae Booker",NYG,"RB19","42","65","47.9","5.3"
"47","Kyle Pitts",ATL,"TE4","40","60","48.0","4.5"
"48","Jakobi Meyers",NE,"WR25","35","60","48.7","6.5"
"49","Alex Collins",SEA,"RB20","39","65","51.5","6.7"
"50","Miles Sanders",PHI,"RB21","42","75","52.6","8.2"
"51","Allen Robinson II",CHI,"WR26","41","59","52.9","4.1"
"52","Javonte Williams",DEN,"RB22","48","59","53.3","3.8"
"53","Darnell Mooney",CHI,"WR27","46","59","53.3","2.7"
"54","Melvin Gordon III",DEN,"RB23","45","75","56.5","7.3"
"55","Tim Patrick",DEN,"WR28","47","72","56.7","4.9"
"56","Corey Davis",NYJ,"WR29","47","66","57.6","5.2"
"57","Henry Ruggs III",LV,"WR30","47","63","57.6","4.5"
"58","D'Ernest Johnson",CLE,"RB24","41","80","59.6","8.3"
"59","Odell Beckham Jr.",CLE,"WR31","53","75","60.6","5.4"
"60","T.J. Hockenson",DET,"TE5","51","70","61.0","5.5"
"61","J.D. McKissic",WAS,"RB25","42","81","61.4","10.7"
"62","Mike Gesicki",MIA,"TE6","50","78","62.0","7.8"
"63","Dallas Goedert",PHI,"TE7","51","78","62.8","6.6"
"64","Noah Fant",DEN,"TE8","50","78","63.5","9.1"
"65","Tyler Boyd",CIN,"WR32","58","75","66.6","3.8"
"66","Christian Kirk",ARI,"WR33","59","72","67.9","3.9"
"67","Mecole Hardman",KC,"WR34","58","86","69.0","6.1"
"68","Myles Gaskin",MIA,"RB26","63","93","70.3","7.5"
"69","Rondale Moore",ARI,"WR35","63","80","71.5","4.0"
"70","Hunter Renfrow",LV,"WR36","67","79","71.6","3.3"
"71","Michael Carter",NYJ,"RB27","61","98","72.9","11.8"
"72","Robby Anderson",CAR,"WR37","66","79","73.9","3.1"
"73","Khalil Herbert",CHI,"RB28","38","96","74.3","13.3"
"74","Marquez Callaway",NO,"WR38","53","83","74.3","7.2"
"75","A.J. Green",ARI,"WR39","67","83","74.5","4.4"
"76","DeVante Parker",MIA,"WR40","66","87","76.0","5.3"
"77","Damien Williams",CHI,"RB29","63","114","78.4","12.1"
"78","Tyler Higbee",LAR,"TE9","69","89","79.3","7.1"
"79","Brandon Aiyuk",SF,"WR41","73","90","80.3","4.9"
"80","Amon-Ra St. Brown",DET,"WR42","74","89","80.9","3.7"
"81","Julio Jones",TEN,"WR43","40","166","62.5","32.4"
"82","Rashod Bateman",BAL,"WR44","77","85","81.2","2.2"
"83","Ricky Seals-Jones",WAS,"TE10","71","88","81.3","6.2"
"84","AJ Dillon",GB,"RB30","61","95","85.4","7.7"
"85","T.Y. Hilton",IND,"WR45","72","109","86.1","8.7"
"86","Nelson Agholor",NE,"WR46","82","92","86.5","2.9"
"87","Hunter Henry",NE,"TE11","76","93","86.7","5.5"
"88","Jamison Crowder",NYJ,"WR47","77","92","86.7","4.4"
"89","Van Jefferson",LAR,"WR48","73","92","86.8","4.3"
"90","Bryan Edwards",LV,"WR49","82","100","91.6","4.8"
"91","Jamaal Williams",DET,"RB31","79","104","94.0","6.7"
"92","Zach Ertz",ARI,"TE12","71","112","94.8","8.9"
"93","Zach Pascal",IND,"WR50","85","105","95.0","4.6"
"94","Mark Ingram II",HOU,"RB32","90","108","96.6","5.4"
"95","Quez Watkins",PHI,"WR51","89","113","97.2","6.1"
"96","Kendrick Bourne",NE,"WR52","89","104","98.6","3.7"
"97","Kalif Raymond",DET,"WR53","87","109","99.3","6.2"
"98","Allen Lazard",GB,"WR54","88","111","100.5","7.4"
"99","Randall Cobb",GB,"WR55","96","107","101.1","3.8"
"100","Devonta Freeman",BAL,"RB33","90","124","101.2","9.9"
"101","Jalen Reagor",PHI,"WR56","94","108","101.5","3.2"
"102","Jarvis Landry",CLE,"WR57","82","114","94.4","8.9"
"103","Donovan Peoples-Jones",CLE,"WR58","92","119","103.5","6.9"
"104","Nyheim Hines",IND,"RB34","93","123","106.3","8.3"
"105","Mo Alie-Cox",IND,"TE13","89","124","106.6","9.6"
"106","Kenneth Gainwell",PHI,"RB35","94","117","108.8","6.2"
"107","Rhamondre Stevenson",NE,"RB36","94","122","110.0","8.6"
"108","DeSean Jackson",LAR,"WR59","102","121","110.9","5.3"
"109","David Johnson",HOU,"RB37","101","120","111.0","6.8"
"110","Russell Gage",ATL,"WR60","98","145","111.7","10.7"
"111","Nico Collins",HOU,"WR61","99","127","112.1","6.2"
"112","Demarcus Robinson",KC,"WR62","100","133","112.6","9.4"
"113","Elijah Moore",NYJ,"WR63","107","129","113.6","5.0"
"114","Kenyan Drake",LV,"RB38","90","137","115.2","10.6"
"115","Evan Engram",NYG,"TE14","111","126","117.7","6.1"
"116","Sony Michel",LAR,"RB39","114","124","120.8","3.0"
"117","C.J. Uzomah",CIN,"TE15","111","129","120.9","6.0"
"118","Kadarius Toney",NYG,"WR64","47","121","78.6","23.4"
"119","Terrace Marshall Jr.",CAR,"WR65","102","163","115.3","12.4"
"120","Byron Pringle",KC,"WR66","114","145","123.6","8.9"
"121","Adam Humphries",WAS,"WR67","110","144","123.7","9.6"
"122","Robert Tonyan",GB,"TE16","112","130","124.2","5.0"
"123","Demetric Felton",CLE,"RB40","113","175","126.6","14.6"
"124","Cole Kmet",CHI,"TE17","115","136","127.3","4.3"
"125","Ross Dwelley",SF,"TE18","106","151","128.1","12.2"
"126","Ty Johnson",NYJ,"RB41","123","144","129.1","6.9"
"127","Gerald Everett",SEA,"TE19","128","135","131.3","2.2"
"128","Le'Veon Bell",BAL,"RB42","114","153","132.5","12.1"
"129","Latavius Murray",BAL,"RB43","65","210","120.0","36.7"
"130","Jonnu Smith",NE,"TE20","126","150","133.3","7.6"
"131","David Njoku",CLE,"TE21","129","148","135.1","5.5"
"132","Anthony Firkser",TEN,"TE22","126","151","138.4","5.0"
"133","Austin Hooper",CLE,"TE23","134","150","140.9","5.0"
"134","Salvon Ahmed",MIA,"RB44","125","160","142.8","8.4"
"135","Giovani Bernard",TB,"RB45","136","153","143.1","5.0"
"136","Ronald Jones II",TB,"RB46","127","149","143.2","5.9"
"137","Dyami Brown",WAS,"WR68","118","176","131.7","12.4"
"138","Trey Sermon",SF,"RB47","130","159","144.7","7.0"
"139","Albert Wilson",MIA,"WR69","127","173","145.3","14.1"
"140","Freddie Swain",SEA,"WR70","121","164","139.7","11.8"
"141","Chris Moore",HOU,"WR71","111","176","141.9","18.2"
"142","John Ross",NYG,"WR72","116","176","131.4","14.1"
"143","DeeJay Dallas",SEA,"RB48","141","157","150.6","4.0"
"144","Rashard Higgins",CLE,"WR73","120","171","145.8","13.6"
"145","Devin Duvernay",BAL,"WR74","122","163","141.0","9.7"
"146","Jeremy McNichols",TEN,"RB49","137","189","148.1","10.6"
"147","O.J. Howard",TB,"TE24","122","184","149.6","14.9"
"148","Malcolm Brown",MIA,"RB50","132","184","154.9","15.5"
"149","Kenny Golladay",NYG,"WR75","73","178","123.3","26.7"
"150","Chester Rogers",TEN,"WR76","127","180","145.6","12.4"
"151","Kendall Hinton",DEN,"WR77","117","180","146.3","19.4"
"152","Jerick McKinnon",KC,"RB51","139","175","157.2","10.5"
"153","Tommy Tremble",CAR,"TE25","143","182","152.1","9.5"
"154","Ty'Son Williams",BAL,"RB52","139","189","157.3","11.0"
"155","Chris Conley",HOU,"WR78","113","181","146.7","15.5"
"156","Jack Doyle",IND,"TE26","152","184","158.4","7.4"
"157","Deonte Harris",NO,"WR79","105","219","154.7","30.4"
"158","Phillip Lindsay",HOU,"RB53","152","177","159.7","5.6"
"159","Rob Gronkowski",TB,"TE27","86","190","130.1","29.5"
"160","Hayden Hurst",ATL,"TE28","146","168","157.1","6.6"
"161","Chris Evans",CIN,"RB54","141","191","162.4","13.0"
"162","DeAndre Carter",WAS,"WR80","134","175","152.8","13.4"
"163","Tevin Coleman",NYJ,"RB55","159","190","167.8","7.0"
"164","Jaret Patterson",WAS,"RB56","141","197","168.1","13.6"
"165","Josh Gordon",KC,"WR81","128","183","158.6","12.5"
"166","Royce Freeman",CAR,"RB57","153","193","169.6","12.2"
"167","Cameron Brate",TB,"TE29","148","186","170.6","10.3"
"168","KhaDarel Hodge",DET,"WR82","145","181","164.3","8.1"
"169","Samaje Perine",CIN,"RB58","156","211","169.9","11.8"
"170","Marlon Mack",IND,"RB59","159","196","174.4","11.6"
"171","Kenny Stills",NO,"WR83","111","192","157.0","26.9"
"172","Ian Thomas",CAR,"TE30","154","187","168.1","10.0"
"173","Marquise Goodwin",CHI,"WR84","160","183","168.5","7.0"
"174","Mack Hollins",MIA,"WR85","116","181","164.1","15.1"
"175","Darius Slayton",NYG,"WR86","110","188","153.1","21.0"
"176","Will Dissly",SEA,"TE31","161","209","174.4","9.8"
"177","Kyle Juszczyk",SF,"RB60","138","204","174.9","18.7"
"178","Josh Reynolds",TEN,"WR87","131","193","170.8","12.8"
"179","Olamide Zaccheaus",ATL,"WR88","132","200","172.9","16.5"
"180","Anthony Schwartz",CLE,"WR89","163","196","173.5","7.5"
"181","Travis Homer",SEA,"RB61","154","249","186.6","18.6"
"182","Brandon Bolden",NE,"RB62","147","204","187.9","13.6"
"183","Tyler Johnson",TB,"WR90","155","192","173.4","7.8"
"184","Auden Tate",CIN,"WR91","171","200","178.4","6.6"
"185","Juwan Johnson",NO,"TE32","172","189","183.2","4.7"
"186","Keelan Cole Sr.",NYJ,"WR92","132","199","170.7","23.3"
"187","Adam Trautman",NO,"TE33","165","188","180.7","8.2"
"188","N'Keal Harry",NE,"WR93","171","196","180.7","6.6"
"189","Collin Johnson",NYG,"WR94","140","197","176.2","11.2"
"190","Elijhaa Penny",NYG,"RB63","169","214","191.7","11.4"
"191","Harrison Bryant",CLE,"TE34","180","195","185.4","3.6"
"192","Ty Montgomery",NO,"RB64","164","210","192.2","13.4"
"193","Greg Ward",PHI,"WR95","181","204","190.7","7.2"
"194","Mohamed Sanu Sr.",SF,"WR96","166","213","187.3","14.2"
"195","Marcus Johnson",TEN,"WR97","181","200","192.4","5.5"
"196","Kyle Rudolph",NYG,"TE35","186","226","196.7","12.4"
"197","Dante Pettis",NYG,"WR98","136","217","189.0","18.7"
"198","Tajae Sharpe",ATL,"WR99","151","208","194.5","14.1"
"199","Preston Williams",MIA,"WR100","120","227","185.2","21.2"
"200","James Proche II",BAL,"WR101","193","223","202.4","10.0"
"201","Kylin Hill",GB,"RB65","191","237","205.9","12.4"
"202","Jalen Richard",LV,"RB66","187","236","206.5","10.6"
"203","Damiere Byrd",CHI,"WR102","192","210","198.4","5.0"
"204","Equanimeous St. Brown",GB,"WR103","183","221","200.3","7.9"
"205","Rashaad Penny",SEA,"RB67","144","232","189.1","28.5"
"206","Wayne Gallman Jr.",ATL,"RB68","197","228","211.6","8.0"
"207","Dwayne Washington",NO,"RB69","196","229","211.7","6.6"
"208","Ryan Griffin",NYJ,"TE36","174","206","192.3","8.1"
"209","Zay Jones",LV,"WR104","198","219","207.9","6.1"
"210","Peyton Barber",LV,"RB70","190","249","213.9","16.6"
"211","Jordan Akins",HOU,"TE37","172","207","197.8","9.8"
"212","Braxton Berrios",NYJ,"WR105","196","226","209.2","8.2"
"213","Saquon Barkley",NYG,"RB71","176","243","213.1","17.0"
"214","MyCole Pruitt",TEN,"TE38","188","215","203.3","7.0"
"215","Gary Brightwell",NYG,"RB72","198","269","223.1","16.3"
