"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1","Derrick Henry",TEN,"RB1","1","1","1.0","0.0"
"2","Alvin Kamara",NO,"RB2","2","8","2.9","2.0"
"3","Davante Adams",GB,"WR1","3","3","3.0","0.0"
"4","Aaron Jones",GB,"RB3","2","13","4.8","2.6"
"5","Stefon Diggs",BUF,"WR2","5","9","5.5","1.1"
"6","Ezekiel Elliott",DAL,"RB4","4","8","6.3","1.3"
"7","Tyreek Hill",KC,"WR3","5","10","6.9","1.6"
"8","Cooper Kupp",LAR,"WR4","6","10","8.6","1.5"
"9","Nick Chubb",CLE,"RB5","7","13","8.8","1.9"
"10","Justin Jefferson",MIN,"WR5","6","14","9.7","2.0"
"11","D.J. Moore",CAR,"WR6","10","11","10.9","0.3"
"12","Saquon Barkley",NYG,"RB6","7","14","11.8","2.4"
"13","Travis Kelce",KC,"TE1","10","12","11.8","0.5"
"14","Dalvin Cook",MIN,"RB7","8","15","13.5","1.7"
"15","Austin Ekeler",LAC,"RB8","14","16","14.8","0.5"
"16","Jonathan Taylor",IND,"RB9","16","19","16.9","1.2"
"17","D'Andre Swift",DET,"RB10","15","25","17.6","2.4"
"18","DeAndre Hopkins",ARI,"WR7","13","21","18.3","2.1"
"19","Najee Harris",PIT,"RB11","16","20","18.3","1.1"
"20","D.K. Metcalf",SEA,"WR8","18","23","19.7","1.6"
"21","CeeDee Lamb",DAL,"WR9","20","27","21.8","2.2"
"22","Calvin Ridley",ATL,"WR10","21","26","22.7","1.3"
"23","James Robinson",JAC,"RB12","19","25","23.5","2.3"
"24","Darren Waller",LV,"TE2","24","26","24.3","0.7"
"25","Terry McLaurin",WAS,"WR11","20","32","24.8","3.4"
"26","Deebo Samuel",SF,"WR12","23","30","25.7","2.4"
"27","Keenan Allen",LAC,"WR13","23","29","26.2","1.9"
"28","Chris Godwin",TB,"WR14","26","30","27.9","1.1"
"29","Tyler Lockett",SEA,"WR15","28","32","29.9","1.2"
"30","Darrell Henderson Jr.",LAR,"RB13","28","33","30.9","1.3"
"31","Antonio Gibson",WAS,"RB14","23","33","31.1","3.2"
"32","Ja'Marr Chase",CIN,"WR16","26","42","31.5","4.9"
"33","Adam Thielen",MIN,"WR17","29","38","33.4","3.0"
"34","Mike Williams",LAC,"WR18","32","35","34.1","1.0"
"35","Amari Cooper",DAL,"WR19","30","38","34.8","2.6"
"36","Clyde Edwards-Helaire",KC,"RB15","32","39","37.0","2.1"
"37","Diontae Johnson",PIT,"WR20","30","43","37.5","3.7"
"38","Kareem Hunt",CLE,"RB16","36","50","37.6","3.7"
"39","Chris Carson",SEA,"RB17","37","42","40.4","1.8"
"40","Damien Harris",NE,"RB18","30","54","40.6","7.0"
"41","Mike Evans",TB,"WR21","38","47","41.1","2.6"
"42","Courtland Sutton",DEN,"WR22","41","44","42.8","1.1"
"43","Chase Edmonds",ARI,"RB19","40","54","44.6","4.7"
"44","Josh Jacobs",LV,"RB20","40","51","45.1","4.0"
"45","Marquise Brown",BAL,"WR23","43","48","45.2","1.8"
"46","Antonio Brown",TB,"WR24","46","52","46.9","1.6"
"47","Tyler Boyd",CIN,"WR25","43","55","48.1","3.5"
"48","Cordarrelle Patterson",ATL,"RB21","41","54","48.4","3.7"
"49","Damien Williams",CHI,"RB22","37","58","48.9","7.7"
"50","Corey Davis",NYJ,"WR26","45","53","49.1","2.3"
"51","Brandin Cooks",HOU,"WR27","46","56","50.1","2.9"
"52","Leonard Fournette",TB,"RB23","45","57","51.7","3.1"
"53","Chuba Hubbard",CAR,"RB24","45","56","52.9","3.4"
"54","Robert Woods",LAR,"WR28","47","65","53.8","4.3"
"55","Allen Robinson II",CHI,"WR29","53","60","55.5","2.8"
"56","DeVonta Smith",PHI,"WR30","53","64","57.1","3.5"
"57","Odell Beckham Jr.",CLE,"WR31","47","64","59.5","4.7"
"58","Marvin Jones Jr.",JAC,"WR32","55","65","60.1","2.8"
