"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1","Derrick Henry",TEN,"RB1","1","5","1.6","1.0"
"2","Davante Adams",GB,"WR1","2","2","2.0","0.0"
"3","Austin Ekeler",LAC,"RB2","1","7","4.0","1.4"
"4","Ezekiel Elliott",DAL,"RB3","3","11","5.0","2.6"
"5","Tyreek Hill",KC,"WR2","4","10","6.4","1.1"
"6","Jonathan Taylor",IND,"RB4","5","15","7.5","3.2"
"7","Cooper Kupp",LAR,"WR3","6","16","8.6","2.0"
"8","Aaron Jones",GB,"RB5","4","15","8.8","2.9"
"9","Travis Kelce",KC,"TE1","9","9","9.0","0.0"
"10","Stefon Diggs",BUF,"WR4","6","13","9.3","1.5"
"11","Najee Harris",PIT,"RB6","3","14","9.7","3.5"
"12","Nick Chubb",CLE,"RB7","7","20","13.4","2.6"
"13","Justin Jefferson",MIN,"WR5","8","19","14.0","2.7"
"14","James Robinson",JAC,"RB8","11","21","15.6","2.6"
"15","Terry McLaurin",WAS,"WR6","12","21","16.3","2.4"
"16","D.J. Moore",CAR,"WR7","13","22","17.1","2.2"
"17","D'Andre Swift",DET,"RB9","15","25","17.8","2.3"
"18","Christian McCaffrey",CAR,"RB10","1","113","19.2","24.7"
"19","Antonio Gibson",WAS,"RB11","14","25","20.2","3.5"
"20","DeAndre Hopkins",ARI,"WR8","18","26","20.4","2.1"
"21","Ja'Marr Chase",CIN,"WR9","18","26","20.9","1.9"
"22","Mike Williams",LAC,"WR10","18","26","21.8","1.9"
"23","Darrell Henderson Jr.",LAR,"RB12","16","30","22.7","3.0"
"24","Diontae Johnson",PIT,"WR11","19","33","25.2","2.6"
"25","D.K. Metcalf",SEA,"WR12","19","41","26.3","3.6"
"26","Joe Mixon",CIN,"RB13","20","44","26.5","5.4"
"27","Keenan Allen",LAC,"WR13","22","32","26.9","1.6"
"28","Chris Godwin",TB,"WR14","26","33","28.6","1.7"
"29","Mike Evans",TB,"WR15","21","34","30.4","2.6"
"30","Dalvin Cook",MIN,"RB14","11","103","30.6","19.3"
"31","CeeDee Lamb",DAL,"WR16","18","36","30.7","3.2"
"32","Kareem Hunt",CLE,"RB15","20","48","31.8","5.9"
"33","Darren Waller",LV,"TE2","30","41","33.2","4.0"
"34","Chase Claypool",PIT,"WR17","32","44","35.8","3.4"
"35","Amari Cooper",DAL,"WR18","32","44","36.0","3.3"
"36","Courtland Sutton",DEN,"WR19","32","45","36.2","3.1"
"37","Leonard Fournette",TB,"RB16","25","61","36.5","7.3"
"38","Mark Andrews",BAL,"TE3","30","53","38.9","5.1"
"39","A.J. Brown",TEN,"WR20","32","50","39.2","3.9"
"40","Marquise Brown",BAL,"WR21","31","45","39.2","3.9"
"41","Antonio Brown",TB,"WR22","33","44","39.9","2.7"
"42","Robert Woods",LAR,"WR23","29","46","40.3","4.7"
"43","DeVonta Smith",PHI,"WR24","33","51","42.5","4.0"
"44","Josh Jacobs",LV,"RB17","30","53","43.0","4.8"
"45","Brandin Cooks",HOU,"WR25","33","51","45.1","3.8"
"46","Tyler Lockett",SEA,"WR26","37","54","45.8","4.2"
"47","Adam Thielen",MIN,"WR27","36","62","48.3","4.3"
"48","Michael Pittman Jr.",IND,"WR28","42","51","48.3","2.5"
"49","Tee Higgins",CIN,"WR29","39","54","49.7","3.3"
