"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1","Derrick Henry",TEN,"RB1","1","2","1.6","0.5"
"2","Cooper Kupp",LAR,"WR1","1","4","1.6","0.9"
"3","Tyreek Hill",KC,"WR2","2","5","3.8","0.6"
"4","Dalvin Cook",MIN,"RB2","3","10","3.9","1.8"
"5","Ja'Marr Chase",CIN,"WR3","4","11","5.9","1.4"
"6","Jonathan Taylor",IND,"RB3","3","14","7.9","2.5"
"7","Stefon Diggs",BUF,"WR4","6","17","8.9","3.3"
"8","Ezekiel Elliott",DAL,"RB4","5","15","9.3","2.8"
"9","Austin Ekeler",LAC,"RB5","6","13","9.6","2.2"
"10","Aaron Jones",GB,"RB6","6","21","9.8","3.3"
"11","Alvin Kamara",NO,"RB7","3","14","10.0","3.1"
"12","Justin Jefferson",MIN,"WR5","6","18","12.0","3.6"
"13","D'Andre Swift",DET,"RB8","8","15","12.6","2.2"
"14","Travis Kelce",KC,"TE1","12","18","13.1","1.5"
"15","Deebo Samuel",SF,"WR6","11","19","15.7","2.7"
"16","Darrell Henderson Jr.",LAR,"RB9","8","22","16.0","3.5"
"17","Joe Mixon",CIN,"RB10","12","22","17.6","3.1"
"18","James Robinson",JAC,"RB11","13","22","18.0","2.7"
"19","A.J. Brown",TEN,"WR7","16","22","18.9","1.4"
"20","DeAndre Hopkins",ARI,"WR8","11","26","19.2","3.5"
"21","Najee Harris",PIT,"RB12","9","23","19.5","3.3"
"22","D.J. Moore",CAR,"WR9","18","25","21.7","2.0"
"23","Nick Chubb",CLE,"RB13","14","31","23.4","4.5"
"24","CeeDee Lamb",DAL,"WR10","19","33","24.0","3.2"
"25","Damien Harris",NE,"RB14","17","31","24.6","3.0"
"26","Mike Williams",LAC,"WR11","24","29","26.0","1.7"
"27","Diontae Johnson",PIT,"WR12","24","35","28.4","2.8"
"28","Chris Godwin",TB,"WR13","25","33","28.5","2.2"
"29","Terry McLaurin",WAS,"WR14","24","37","29.0","3.7"
"30","Cordarrelle Patterson",ATL,"RB15","24","33","29.6","2.5"
"31","D.K. Metcalf",SEA,"WR15","25","35","31.4","2.8"
"32","Calvin Ridley",ATL,"WR16","26","37","32.0","2.7"
"33","Mike Evans",TB,"WR17","28","37","32.0","2.5"
"34","Keenan Allen",LAC,"WR18","31","38","35.0","1.4"
"35","Amari Cooper",DAL,"WR19","33","38","35.4","1.2"
"36","Leonard Fournette",TB,"RB16","31","45","35.7","5.7"
"37","Adam Thielen",MIN,"WR20","32","40","36.7","1.9"
"38","Michael Pittman Jr.",IND,"WR21","36","44","39.0","2.0"
"39","Courtland Sutton",DEN,"WR22","34","42","39.0","2.1"
"40","Darrel Williams",KC,"RB17","30","51","40.6","6.5"
"41","Robert Woods",LAR,"WR23","38","45","40.9","1.5"
"42","Tee Higgins",CIN,"WR24","38","48","41.7","2.4"
"43","DeVonta Smith",PHI,"WR25","41","54","44.1","2.9"
"44","Chase Claypool",PIT,"WR26","39","52","45.0","3.8"
"45","Emmanuel Sanders",BUF,"WR27","43","50","46.0","2.1"
"46","Chuba Hubbard",CAR,"RB18","34","50","46.9","3.2"
"47","Marvin Jones Jr.",JAC,"WR28","41","55","47.6","4.1"
"48","Elijah Mitchell",SF,"RB19","45","51","48.5","1.9"
"49","Brandin Cooks",HOU,"WR29","41","57","50.5","3.7"
"50","Khalil Herbert",CHI,"RB20","46","60","51.6","2.7"
"51","Antonio Gibson",WAS,"RB21","48","56","52.0","1.8"
"52","Jaylen Waddle",MIA,"WR30","48","57","52.4","2.8"
"53","Tyler Lockett",SEA,"WR31","47","65","54.3","5.5"
"54","Kenneth Gainwell",PHI,"RB22","46","71","55.3","6.1"
"55","Julio Jones",TEN,"WR32","51","61","57.1","2.2"
"56","Devontae Booker",NYG,"RB23","53","66","58.0","3.3"
"57","Chase Edmonds",ARI,"RB24","49","70","59.2","4.9"
"58","Jerry Jeudy",DEN,"WR33","54","75","59.3","5.3"
"59","Javonte Williams",DEN,"RB25","53","72","62.5","4.6"
"60","Kyle Pitts",ATL,"TE2","58","65","62.7","1.6"
"61","Christian Kirk",ARI,"WR34","59","77","65.2","4.5"
"62","Laviska Shenault Jr.",JAC,"WR35","59","82","65.5","5.7"
"63","Jakobi Meyers",NE,"WR36","57","79","65.7","6.1"
"64","Melvin Gordon III",DEN,"RB26","60","72","65.9","4.2"
"65","Zack Moss",BUF,"RB27","56","74","66.0","5.5"
"66","Sterling Shepard",NYG,"WR37","56","83","66.3","6.8"
"67","Alex Collins",SEA,"RB28","53","85","66.8","7.9"
"68","Dallas Goedert",PHI,"TE3","64","77","67.9","4.7"
"69","James Conner",ARI,"RB29","56","84","68.7","6.1"
"70","Tyler Boyd",CIN,"WR38","61","81","70.5","5.1"
"71","T.J. Hockenson",DET,"TE4","69","78","72.6","2.8"
"72","Mike Gesicki",MIA,"TE5","64","82","73.2","4.2"
"73","Michael Carter",NYJ,"RB30","61","103","75.2","10.1"
"74","Cole Beasley",BUF,"WR39","65","90","76.2","6.8"
"75","Myles Gaskin",MIA,"RB31","63","97","77.0","7.9"
"76","Darnell Mooney",CHI,"WR40","67","90","77.3","5.9"
"77","Jarvis Landry",CLE,"WR41","67","87","78.7","4.7"
"78","A.J. Green",ARI,"WR42","63","91","80.6","8.2"
"79","Corey Davis",NYJ,"WR43","68","94","81.9","5.0"
"80","Noah Fant",DEN,"TE6","80","93","83.2","4.4"
"81","Robby Anderson",CAR,"WR44","75","95","83.6","4.4"
"82","Dalton Schultz",DAL,"TE7","73","110","85.1","8.6"
"83","Allen Robinson II",CHI,"WR45","80","97","88.0","4.3"
"84","Marquez Callaway",NO,"WR46","81","98","88.2","4.5"
"85","J.D. McKissic",WAS,"RB32","76","101","89.0","6.6"
"86","Odell Beckham Jr.",CLE,"WR47","79","100","89.3","4.8"
"87","Tony Pollard",DAL,"RB33","74","96","89.3","6.4"
"88","Randall Cobb",GB,"WR48","72","107","89.5","10.8"
"89","Mecole Hardman",KC,"WR49","86","99","89.6","3.5"
"90","Hunter Henry",NE,"TE8","82","112","90.8","7.9"
"91","Kadarius Toney",NYG,"WR50","48","182","91.5","32.3"
"92","Devin Singletary",BUF,"RB34","74","106","92.0","8.8"
"93","Tim Patrick",DEN,"WR51","83","102","93.1","5.3"
"94","Van Jefferson",LAR,"WR52","83","100","94.7","3.9"
"95","Rondale Moore",ARI,"WR53","90","109","95.3","5.8"
"96","Jamaal Williams",DET,"RB35","89","108","99.6","3.8"
"97","T.Y. Hilton",IND,"WR54","86","118","99.7","8.2"
"98","Tyler Higbee",LAR,"TE9","92","110","100.3","6.4"
"99","K.J. Osborn",MIN,"WR55","91","112","101.3","5.6"
"100","Kalif Raymond",DET,"WR56","90","117","102.3","6.8"
"101","Mike Davis",ATL,"RB36","84","130","103.0","10.5"
"102","Zach Ertz",ARI,"TE10","82","120","103.3","10.4"
"103","Antonio Brown",TB,"WR57","36","121","46.2","18.6"
"104","Amon-Ra St. Brown",DET,"WR58","97","115","106.0","5.2"
"105","Russell Gage",ATL,"WR59","97","115","106.8","3.7"
"106","Nelson Agholor",NE,"WR60","100","115","107.1","4.2"
"107","AJ Dillon",GB,"RB37","89","129","107.6","9.4"
"108","Quez Watkins",PHI,"WR61","105","118","111.2","3.8"
"109","Jalen Reagor",PHI,"WR62","107","119","111.5","3.6"
"110","Darius Slayton",NYG,"WR63","94","139","112.0","9.1"
"111","Jamison Crowder",NYJ,"WR64","99","122","112.5","6.5"
"112","Boston Scott",PHI,"RB38","74","142","114.0","17.9"
"113","Zach Pascal",IND,"WR65","105","119","114.0","4.1"
"114","DeVante Parker",MIA,"WR66","93","157","114.9","14.3"
"115","Kendrick Bourne",NE,"WR67","109","121","115.3","2.9"
"116","C.J. Uzomah",CIN,"TE11","100","127","118.1","6.7"
"117","Ricky Seals-Jones",WAS,"TE12","112","127","119.8","3.6"
"118","Robert Tonyan",GB,"TE13","101","131","121.5","5.5"
"119","D'Ernest Johnson",CLE,"RB39","103","137","121.7","9.4"
"120","Jared Cook",LAC,"TE14","116","134","122.9","4.2"
"121","Michael Gallup",DAL,"WR68","78","174","114.7","28.7"
"122","Nyheim Hines",IND,"RB40","106","139","124.0","10.3"
"123","Rob Gronkowski",TB,"TE15","92","151","124.9","15.9"
"124","Equanimeous St. Brown",GB,"WR69","102","167","125.7","20.3"
"125","Evan Engram",NYG,"TE16","121","135","127.0","3.8"
"126","Elijah Moore",NYJ,"WR70","117","166","128.5","12.1"
"127","Dante Pettis",NYG,"WR71","118","148","129.3","7.2"
"128","Mo Alie-Cox",IND,"TE17","123","142","129.4","5.0"
"129","Brandon Aiyuk",SF,"WR72","121","152","129.7","7.8"
"130","Mark Ingram II",NO,"RB41","124","134","129.8","2.1"
"131","Samaje Perine",CIN,"RB42","74","140","130.0","14.1"
"132","David Johnson",HOU,"RB43","113","137","131.3","4.7"
"133","Byron Pringle",KC,"WR73","118","160","133.7","10.1"
"134","Nico Collins",HOU,"WR74","122","149","135.8","7.7"
"135","Tyler Conklin",MIN,"TE18","124","152","136.0","6.8"
"136","Ty Johnson",NYJ,"RB44","132","144","137.8","2.4"
"137","Sony Michel",LAR,"RB45","130","144","138.6","2.9"
"138","Rashaad Penny",SEA,"RB46","113","177","140.5","14.7"
"139","Dan Arnold",JAC,"TE19","125","162","141.0","9.3"
"140","Cole Kmet",CHI,"TE20","133","151","141.0","5.8"
"141","Damien Williams",CHI,"RB47","129","157","142.0","8.0"
"142","Marquez Valdes-Scantling",GB,"WR75","68","194","126.5","37.0"
"143","Jamal Agnew",JAC,"WR76","116","169","143.3","16.1"
"144","Alexander Mattison",MIN,"RB48","139","154","143.4","3.3"
"145","Jerick McKinnon",KC,"RB49","141","161","146.5","4.6"
"146","Tre'Quan Smith",NO,"WR77","136","158","146.7","5.8"
"147","Brandon Bolden",NE,"RB50","134","163","146.9","7.0"
"148","Cedrick Wilson Jr.",DAL,"WR78","117","179","147.1","16.5"
"149","Salvon Ahmed",MIA,"RB51","143","159","147.1","4.4"
"150","David Njoku",CLE,"TE21","134","167","150.4","6.8"
"151","Jonnu Smith",NE,"TE22","141","165","151.8","6.8"
"152","Demarcus Robinson",KC,"WR79","148","171","153.9","6.8"
"153","Gerald Everett",SEA,"TE23","150","160","155.8","2.9"
"154","DeSean Jackson",LAR,"WR80","123","180","149.7","13.8"
"155","Austin Hooper",CLE,"TE24","150","172","157.7","5.0"
"156","Ronald Jones II",TB,"RB52","143","173","157.8","6.1"
"157","JaMycal Hasty",SF,"RB53","143","178","160.6","10.2"
"158","Giovani Bernard",TB,"RB54","146","173","161.6","6.7"
"159","Freddie Swain",SEA,"WR81","147","182","162.1","9.3"
"160","Adam Humphries",WAS,"WR82","148","178","158.3","8.5"
"161","Anthony Firkser",TEN,"TE25","159","183","165.7","6.7"
"162","O.J. Howard",TB,"TE26","154","181","166.4","8.2"
"163","Kenny Golladay",NYG,"WR83","99","189","153.1","21.8"
"164","Donovan Peoples-Jones",CLE,"WR84","117","206","161.7","17.1"
"165","Pat Freiermuth",PIT,"TE27","151","190","170.7","10.6"
"166","Phillip Lindsay",HOU,"RB55","156","187","171.0","9.4"
"167","Ross Dwelley",SF,"TE28","156","191","172.0","7.6"
"168","Preston Williams",MIA,"WR85","152","190","164.6","9.0"
"169","Blake Jarwin",DAL,"TE29","162","207","180.0","11.8"
"170","J.J. Taylor",NE,"RB56","167","205","180.0","9.1"
"171","Royce Freeman",CAR,"RB57","156","194","175.4","9.6"
"172","Marlon Mack",IND,"RB58","171","210","183.3","8.8"
"173","Gabriel Davis",BUF,"WR86","132","213","177.5","18.4"
"174","Donald Parham Jr.",LAC,"TE30","165","202","183.9","9.7"
"175","DeeJay Dallas",SEA,"RB59","170","230","185.8","15.7"
"176","Saquon Barkley",NYG,"RB60","98","238","166.6","31.0"
"177","Josh Reynolds",TEN,"WR87","169","210","182.9","11.9"
"178","John Ross",NYG,"WR88","148","190","163.8","11.4"
"179","Rashard Higgins",CLE,"WR89","152","189","172.3","7.6"
"180","Jeremy McNichols",TEN,"RB61","170","230","192.9","11.2"
"181","Cameron Brate",TB,"TE31","164","235","193.0","19.9"
"182","Mack Hollins",MIA,"WR90","170","196","178.2","6.9"
"183","Jalen Guyton",LAC,"WR91","158","210","181.4","16.3"
"184","Hayden Hurst",ATL,"TE32","180","199","188.8","6.5"
"185","Tyler Johnson",TB,"WR92","122","242","177.4","30.2"
"186","Adam Trautman",NO,"TE33","176","208","191.2","7.5"
"187","Kyle Juszczyk",SF,"RB62","177","230","197.0","11.6"
"188","Kenny Stills",NO,"WR93","148","207","180.3","13.1"
"189","Demetric Felton",CLE,"RB63","172","264","198.2","22.6"
"190","Joshua Kelley",LAC,"RB64","191","225","204.6","8.8"
"191","Chris Evans",CIN,"RB65","184","241","210.5","17.8"
"192","Tommy Tremble",CAR,"TE34","184","218","195.5","6.5"
"193","Ty Montgomery",NO,"RB66","190","224","203.7","9.6"
"194","Carlos Hyde",JAC,"RB67","177","223","204.5","13.0"
"195","Harrison Bryant",CLE,"TE35","188","229","197.2","10.1"
"196","Justin Jackson",LAC,"RB68","199","222","208.7","6.9"
"197","Tommy Sweeney",BUF,"TE36","154","198","168.7","10.3"
"198","Danny Amendola",HOU,"WR94","163","214","194.2","14.0"
"199","Jaret Patterson",WAS,"RB69","197","236","213.1","9.1"
"200","Terrace Marshall Jr.",CAR,"WR95","148","211","181.9","19.9"
"201","Jordan Howard",PHI,"RB70","184","238","214.6","13.5"
"202","Trey Sermon",SF,"RB71","173","242","212.7","19.5"
"203","Albert Wilson",MIA,"WR96","152","222","180.5","18.5"
"204","Davante Adams",GB,"WR97","87","183","133.3","26.9"
"205","Anthony Schwartz",CLE,"WR98","187","214","198.7","8.9"
"206","Darrynton Evans",TEN,"RB72","201","243","221.1","12.2"
"207","Elijhaa Penny",NYG,"RB73","198","246","221.4","13.8"
"208","Chris Moore",HOU,"WR99","179","258","206.2","21.7"
"209","Chris Conley",HOU,"WR100","180","239","198.1","16.2"
"210","N'Keal Harry",NE,"WR101","190","209","199.5","5.4"
"211","Travis Homer",SEA,"RB74","197","264","223.4","20.9"
"212","DeAndre Carter",WAS,"WR102","189","213","201.1","7.7"
"213","James Washington",PIT,"WR103","165","213","185.6","14.8"
"214","Wayne Gallman Jr.",ATL,"RB75","210","250","226.6","11.5"
"215","Kalen Ballage",PIT,"RB76","209","253","224.9","11.2"
"216","Collin Johnson",NYG,"WR104","184","260","209.1","18.3"
"217","Ryan Griffin",NYJ,"TE37","164","208","185.3","13.7"
"218","Dyami Brown",WAS,"WR105","183","266","205.1","23.0"
"219","Josh Gordon",KC,"WR106","195","251","213.1","15.9"
"220","Kylin Hill",GB,"RB77","219","259","232.3","12.0"
"221","Auden Tate",CIN,"WR107","202","267","221.1","19.6"
"222","Eno Benjamin",ARI,"RB78","212","273","236.4","16.2"
"223","Ray-Ray McCloud",PIT,"WR108","170","209","192.6","12.6"
"224","Benny Snell Jr.",PIT,"RB79","214","272","237.9","17.5"
"225","Juwan Johnson",NO,"TE38","193","218","205.9","7.8"
"226","Rex Burkhead",HOU,"RB80","221","283","239.0","17.6"
"227","Miles Sanders",PHI,"RB81","157","253","215.8","21.9"
"228","Jordan Akins",HOU,"TE39","188","231","216.2","11.2"
"229","La'Mical Perine",NYJ,"RB82","220","273","241.0","18.8"
"230","Amari Rodgers",GB,"WR109","124","225","179.4","32.5"
"231","Joshua Palmer",LAC,"WR110","175","237","193.4","19.0"
"232","John Kelly",CLE,"RB83","225","294","246.4","21.4"
"233","Ryan Nall",CHI,"RB84","226","295","249.2","23.0"
"234","Will Dissly",SEA,"TE40","202","226","215.7","7.2"
"235","Trinity Benson",DET,"WR111","200","276","222.2","23.3"
"236","Jack Doyle",IND,"TE41","202","233","223.4","10.4"
"237","Marcedes Lewis",GB,"TE42","185","229","215.0","12.4"
"238","Pharaoh Brown",HOU,"TE43","194","236","224.2","11.7"
"239","Kyle Rudolph",NYG,"TE44","207","228","216.9","7.3"
"240","Greg Ward",PHI,"WR112","206","252","227.6","16.6"
"241","Damiere Byrd",CHI,"WR113","207","262","229.6","17.0"
"242","Mohamed Sanu Sr.",SF,"WR114","184","232","199.5","14.2"
"243","Eric Ebron",PIT,"TE45","210","241","223.3","9.0"
"244","Ian Thomas",CAR,"TE46","214","240","226.0","7.3"
"245","KhaDarel Hodge",DET,"WR115","189","236","204.6","14.0"
"246","Albert Okwuegbunam",DEN,"TE47","188","246","208.0","18.2"
"247","MyCole Pruitt",TEN,"TE48","215","244","232.2","7.5"
"248","Ashton Dulin",IND,"WR116","186","231","201.0","14.3"
"249","Keelan Cole Sr.",NYJ,"WR117","182","237","204.3","15.8"
"250","Charlie Woerner",SF,"TE49","224","252","230.8","8.9"
"251","Marquise Goodwin",CHI,"WR118","192","234","208.4","15.2"
"252","Curtis Samuel",WAS,"WR119","59","224","138.3","61.3"
"253","Olamide Zaccheaus",ATL,"WR120","206","243","220.1","11.7"
"254","Tajae Sharpe",ATL,"WR121","203","245","222.9","15.2"
"255","Deonte Harris",NO,"WR122","147","247","187.4","37.3"
"256","Trent Sherfield",SF,"WR123","211","250","225.3","13.5"
"257","Devine Ozigbo",NO,"RB85","212","299","247.1","26.7"
"258","Kendall Hinton",DEN,"WR124","177","258","228.7","25.6"
"259","Marcus Johnson",TEN,"WR125","212","260","233.1","17.9"
"260","Michael Thomas",NO,"WR126","83","179","128.0","39.4"
"261","Chester Rogers",TEN,"WR127","163","255","204.8","36.9"
"262","Geoff Swaim",TEN,"TE50","227","257","246.6","8.3"
"263","George Kittle",SF,"TE51","193","246","212.2","20.0"
"264","Tyler Kroft",NYJ,"TE52","237","269","251.0","8.7"
"265","Dede Westbrook",MIN,"WR128","213","252","236.5","15.2"
"266","Durham Smythe",MIA,"TE53","231","276","257.0","16.1"
"267","Chris Herndon IV",MIN,"TE54","235","280","257.0","11.4"
"268","Denzel Mims",NYJ,"WR129","217","258","241.3","16.8"
"269","Nick Westbrook-Ikhine",TEN,"WR130","227","261","242.5","12.4"
"270","Penny Hart",SEA,"WR131","247","275","256.9","9.3"
"271","Tyrell Williams",DET,"WR132","173","194","180.3","9.7"
"272","Lee Smith",ATL,"TE55","248","278","257.7","10.7"
"273","Gary Brightwell",NYG,"RB86","227","295","249.0","23.8"
"274","Juwann Winfree",GB,"WR133","221","265","238.0","18.0"
"275","Jacob Hollister",JAC,"TE56","248","271","260.3","8.5"
"276","Dax Milne",WAS,"WR134","245","279","263.3","10.1"
