"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1","Jonathan Taylor",IND,"RB1","1","4","1.7","1.3"
"2","Davante Adams",GB,"WR1","2","3","2.2","0.4"
"3","Cooper Kupp",LAR,"WR2","2","5","3.0","0.8"
"4","Dalvin Cook",MIN,"RB2","1","4","3.1","1.2"
"5","Christian McCaffrey",CAR,"RB3","4","5","4.9","0.3"
"6","Tyreek Hill",KC,"WR3","6","8","6.2","0.6"
"7","Najee Harris",PIT,"RB4","6","8","6.9","0.6"
"8","Austin Ekeler",LAC,"RB5","7","9","7.7","0.7"
"9","Alvin Kamara",NO,"RB6","8","9","8.8","0.4"
"10","Aaron Jones",GB,"RB7","10","10","10.0","0.0"
"11","A.J. Brown",TEN,"WR4","11","15","12.7","1.3"
"12","Ezekiel Elliott",DAL,"RB8","13","13","13.0","0.0"
"13","Travis Kelce",KC,"TE1","11","23","13.7","5.0"
"14","Chris Godwin",TB,"WR5","12","23","15.3","3.0"
"15","Stefon Diggs",BUF,"WR6","12","24","15.6","3.2"
"16","Mike Evans",TB,"WR7","15","25","17.1","2.9"
"17","Michael Pittman Jr.",IND,"WR8","15","24","17.8","3.4"
"18","Cordarrelle Patterson",ATL,"RB9","18","20","18.9","0.9"
"19","Justin Jefferson",MIN,"WR9","16","22","19.0","2.3"
"20","Darrell Henderson Jr.",LAR,"RB10","19","26","21.3","2.6"
"21","CeeDee Lamb",DAL,"WR10","20","24","22.1","1.3"
"22","Darren Waller",LV,"TE2","21","26","22.1","2.1"
"23","D.K. Metcalf",SEA,"WR11","14","28","23.4","3.6"
"24","James Conner",ARI,"RB11","19","37","24.1","5.5"
"25","D'Andre Swift",DET,"RB12","24","27","26.0","1.1"
"26","Terry McLaurin",WAS,"WR12","22","29","26.2","2.7"
"27","Marquise Brown",BAL,"WR13","23","34","28.0","3.4"
"28","Deebo Samuel",SF,"WR14","27","31","28.4","1.3"
"29","Diontae Johnson",PIT,"WR15","17","38","31.6","5.7"
"30","Amari Cooper",DAL,"WR16","30","34","32.0","1.4"
"31","Keenan Allen",LAC,"WR17","30","38","32.2","2.7"
"32","Tyler Lockett",SEA,"WR18","31","40","33.4","2.8"
"33","Leonard Fournette",TB,"RB13","27","41","34.1","4.0"
"34","James Robinson",JAC,"RB14","26","46","34.3","5.1"
"35","DeAndre Hopkins",ARI,"WR19","31","36","34.4","1.4"
"36","Elijah Mitchell",SF,"RB15","29","43","37.7","5.1"
"37","Josh Jacobs",LV,"RB16","32","43","37.9","4.0"
"38","Mike Williams",LAC,"WR20","36","41","38.1","2.1"
"39","Robert Woods",LAR,"WR21","36","45","38.9","2.3"
"40","Adam Thielen",MIN,"WR22","35","44","39.4","2.2"
"41","D.J. Moore",CAR,"WR23","38","47","41.4","3.4"
"42","George Kittle",SF,"TE3","37","50","41.8","3.5"
"43","Damien Harris",NE,"RB17","35","49","43.9","4.1"
"44","Chase Claypool",PIT,"WR24","40","47","44.6","1.9"
"45","Jaylen Waddle",MIA,"WR25","44","50","46.2","2.3"
"46","Melvin Gordon III",DEN,"RB18","42","52","48.6","2.9"
"47","Hunter Renfrow",LV,"WR26","47","54","48.8","2.8"
"48","Jerry Jeudy",DEN,"WR27","45","55","50.1","3.3"
"49","Darrel Williams",KC,"RB19","43","53","51.0","2.9"
"50","Mark Andrews",BAL,"TE4","42","58","51.3","4.5"
"51","DeVonta Smith",PHI,"WR28","48","55","53.1","2.8"
"52","Michael Carter",NYJ,"RB20","46","65","53.7","6.3"
"53","Emmanuel Sanders",BUF,"WR29","54","57","55.3","1.1"
"54","Courtland Sutton",DEN,"WR30","48","59","55.4","3.1"
"55","Javonte Williams",DEN,"RB21","51","66","56.6","6.3"
"56","Kyle Pitts",ATL,"TE5","50","58","57.1","2.5"
"57","Myles Gaskin",MIA,"RB22","49","65","57.6","6.8"
"58","Cole Beasley",BUF,"WR31","56","63","58.9","2.1"
"59","Julio Jones",TEN,"WR32","57","64","60.2","2.5"
"60","Mike Gesicki",MIA,"TE6","62","70","63.6","2.4"
"61","Christian Kirk",ARI,"WR33","60","72","63.8","4.8"
"62","T.J. Hockenson",DET,"TE7","62","66","63.8","1.5"
"63","Devonta Freeman",BAL,"RB23","57","68","65.2","4.4"
"64","Rashod Bateman",BAL,"WR34","60","72","65.6","4.3"
"65","Brandon Aiyuk",SF,"WR35","60","75","66.6","5.8"
"66","Jarvis Landry",CLE,"WR36","57","73","67.8","5.9"
"67","Devin Singletary",BUF,"RB24","62","79","68.9","5.0"
"68","Antonio Gibson",WAS,"RB25","61","80","69.2","6.8"
"69","Alex Collins",SEA,"RB26","66","74","69.2","2.8"
"70","Dallas Goedert",PHI,"TE8","64","71","69.6","2.0"
"71","Marvin Jones Jr.",JAC,"WR37","59","76","71.0","5.6"
"72","Dalton Schultz",DAL,"TE9","71","78","72.8","2.8"
"73","Zack Moss",BUF,"RB27","67","80","74.8","5.8"
"74","Corey Davis",NYJ,"WR38","73","77","75.2","1.2"
"75","J.D. McKissic",WAS,"RB28","69","79","75.4","4.6"
"76","Jordan Howard",PHI,"RB29","69","86","79.2","4.7"
"77","Nick Chubb",CLE,"RB30","16","46","22.9","9.9"
"78","T.Y. Hilton",IND,"WR39","74","90","79.6","5.2"
"79","Van Jefferson",LAR,"WR40","63","91","79.7","7.5"
"80","Pat Freiermuth",PIT,"TE10","70","89","80.8","7.3"
"81","AJ Dillon",GB,"RB31","74","82","80.8","2.6"
"82","Elijah Moore",NYJ,"WR41","77","85","81.4","2.8"
"83","Jamison Crowder",NYJ,"WR42","77","91","83.0","4.9"
"84","Marquez Callaway",NO,"WR43","77","91","84.3","4.1"
"85","Tony Pollard",DAL,"RB32","83","95","88.1","4.7"
"86","Jakobi Meyers",NE,"WR44","73","98","89.0","7.0"
"87","Hunter Henry",NE,"TE11","85","96","89.1","3.3"
"88","Dan Arnold",JAC,"TE12","87","96","89.3","2.5"
"89","Michael Gallup",DAL,"WR45","81","100","90.0","6.0"
"90","Tyler Higbee",LAR,"TE13","88","93","91.4","1.6"
"91","Nyheim Hines",IND,"RB33","86","102","92.6","6.4"
"92","Russell Gage",ATL,"WR46","85","101","93.6","4.8"
"93","Donovan Peoples-Jones",CLE,"WR47","90","111","95.0","6.1"
"94","Tim Patrick",DEN,"WR48","92","98","95.1","2.4"
"95","Zach Ertz",ARI,"TE14","87","105","96.0","4.6"
"96","Noah Fant",DEN,"TE15","88","105","96.4","7.4"
"97","Adrian Peterson",TEN,"RB34","86","104","97.3","5.7"
"98","Rondale Moore",ARI,"WR49","96","103","98.7","2.3"
"99","Mecole Hardman",KC,"WR50","94","103","99.3","2.6"
"100","Boston Scott",PHI,"RB35","83","109","102.1","8.2"
"101","Jeremy McNichols",TEN,"RB36","83","115","102.4","7.8"
"102","A.J. Green",ARI,"WR51","100","107","102.4","2.3"
"103","Tyler Conklin",MIN,"TE16","99","110","102.8","4.5"
"104","Kenyan Drake",LV,"RB37","95","108","103.4","4.0"
"105","Bryan Edwards",LV,"WR52","94","111","104.0","4.5"
"106","D'Ernest Johnson",CLE,"RB38","20","132","105.3","42.7"
"107","Laviska Shenault Jr.",JAC,"WR53","100","111","106.7","2.9"
"108","Allen Lazard",GB,"WR54","103","114","108.1","3.4"
"109","Rob Gronkowski",TB,"TE17","76","105","87.3","9.7"
"110","Jared Cook",LAC,"TE18","105","113","108.7","2.8"
"111","Zach Pascal",IND,"WR55","97","112","108.8","4.5"
"112","Jamal Agnew",JAC,"WR56","106","116","110.7","3.0"
"113","Jamaal Williams",DET,"RB39","98","132","114.3","11.5"
"114","Nelson Agholor",NE,"WR57","114","118","115.2","1.0"
"115","Sammy Watkins",BAL,"WR58","113","119","115.8","1.6"
"116","Randall Cobb",GB,"WR59","112","119","116.0","2.6"
"117","Mo Alie-Cox",IND,"TE19","111","136","116.2","7.2"
"118","Deonte Harris",NO,"WR60","113","127","117.9","5.3"
"119","Ty Johnson",NYJ,"RB40","109","129","118.7","4.8"
"120","Marquez Valdes-Scantling",GB,"WR61","119","121","120.1","0.6"
"121","Robby Anderson",CAR,"WR62","122","123","122.2","0.4"
"122","Carlos Hyde",JAC,"RB41","117","132","122.3","4.3"
"123","Mark Ingram II",NO,"RB42","118","125","122.3","3.1"
"124","Tre'Quan Smith",NO,"WR63","122","126","123.3","1.5"
"125","Mike Davis",ATL,"RB43","109","132","124.1","5.9"
"126","Amon-Ra St. Brown",DET,"WR64","123","126","124.8","1.3"
"127","Kendrick Bourne",NE,"WR65","126","130","127.9","1.5"
"128","Logan Thomas",WAS,"TE20","99","154","128.7","23.4"
"129","Rhamondre Stevenson",NE,"RB44","125","136","128.9","3.2"
"130","K.J. Osborn",MIN,"WR66","126","131","129.3","1.6"
"131","Tajae Sharpe",ATL,"WR67","120","134","129.7","4.7"
"132","Olamide Zaccheaus",ATL,"WR68","131","135","133.3","1.1"
"133","Quez Watkins",PHI,"WR69","133","135","133.9","0.9"
"134","Chuba Hubbard",CAR,"RB45","127","159","135.6","10.2"
"135","Kenneth Gainwell",PHI,"RB46","132","141","138.1","2.6"
"136","Keelan Cole Sr.",NYJ,"WR70","134","144","138.8","3.4"
"137","David Njoku",CLE,"TE21","117","153","139.0","13.4"
"138","Brandon Bolden",NE,"RB47","138","143","139.4","1.5"
"139","Sony Michel",LAR,"RB48","139","146","141.0","2.5"
"140","Ronald Jones II",TB,"RB49","136","148","143.4","4.1"
"141","Gabriel Davis",BUF,"WR71","138","151","143.7","4.4"
"142","Alexander Mattison",MIN,"RB50","138","150","144.0","4.0"
"143","Adam Trautman",NO,"TE22","113","153","144.2","12.5"
"144","Eno Benjamin",ARI,"RB51","128","159","144.2","12.1"
"145","Byron Pringle",KC,"WR72","139","152","146.9","4.6"
"146","Giovani Bernard",TB,"RB52","145","155","147.9","3.3"
"147","Salvon Ahmed",MIA,"RB53","146","157","149.7","3.7"
"148","Zay Jones",LV,"WR73","134","166","150.8","8.8"
"149","Le'Veon Bell",BAL,"RB54","146","159","150.8","5.0"
"150","JaMycal Hasty",SF,"RB55","145","157","151.2","4.7"
"151","Jalen Reagor",PHI,"WR74","144","167","151.6","6.5"
"152","Jonnu Smith",NE,"TE23","136","189","151.9","16.2"
"153","Donald Parham Jr.",LAC,"TE24","135","163","153.1","7.8"
"154","D'Onta Foreman",TEN,"RB56","142","169","155.3","10.3"
"155","Derrick Gore",KC,"RB57","147","164","155.9","7.2"
"156","O.J. Howard",TB,"TE25","149","162","158.0","4.1"
"157","Latavius Murray",BAL,"RB58","121","179","158.2","15.6"
"158","Cedrick Wilson Jr.",DAL,"WR75","142","203","161.1","22.9"
"159","Antonio Brown",TB,"WR76","119","135","128.1","6.3"
"160","Rashard Higgins",CLE,"WR77","155","174","163.6","7.2"
"161","Mack Hollins",MIA,"WR78","146","180","164.0","12.0"
"162","Jeff Wilson Jr.",SF,"RB59","152","205","165.8","14.4"
"163","Terrace Marshall Jr.",CAR,"WR79","148","176","167.4","7.8"
"164","Ryan Griffin",NYJ,"TE26","136","185","167.6","16.8"
"165","James Washington",PIT,"WR80","155","175","168.4","7.3"
"166","Jerick McKinnon",KC,"RB60","160","170","168.4","3.0"
"167","Austin Hooper",CLE,"TE27","154","160","158.0","2.0"
"168","Tommy Sweeney",BUF,"TE28","149","168","160.9","7.4"
"169","Ameer Abdullah",CAR,"RB61","165","191","175.6","8.9"
"170","Albert Okwuegbunam",DEN,"TE29","154","173","163.9","5.9"
"171","Jack Doyle",IND,"TE30","161","179","166.9","7.3"
"172","Kenny Stills",NO,"WR81","176","195","180.9","6.3"
"173","Hayden Hurst",ATL,"TE31","163","185","171.0","8.7"
"174","Jalen Guyton",LAC,"WR82","166","174","171.0","3.0"
"175","Kyle Juszczyk",SF,"RB62","164","193","185.9","8.7"
"176","Demarcus Robinson",KC,"WR83","167","181","175.9","4.1"
"177","Nick Westbrook-Ikhine",TEN,"WR84","174","187","178.4","5.1"
"178","Anthony Schwartz",CLE,"WR85","172","182","179.3","3.3"
"179","Mohamed Sanu Sr.",SF,"WR86","177","181","179.5","1.9"
"180","Tommy Tremble",CAR,"TE32","173","183","181.0","3.3"
"181","Rashaad Penny",SEA,"RB63","165","221","194.0","14.2"
"182","Denzel Mims",NYJ,"WR87","165","174","171.0","2.6"
"183","Jalen Richard",LV,"RB64","178","220","196.3","13.6"
"184","Foster Moreau",LV,"TE33","179","199","187.8","6.8"
"185","Devin Duvernay",BAL,"WR88","184","193","187.8","3.2"
"186","Jaret Patterson",WAS,"RB65","157","225","198.0","23.6"
"187","Ashton Dulin",IND,"WR89","182","198","188.9","5.5"
"188","Kalif Raymond",DET,"WR90","152","182","176.6","10.1"
"189","Ty'Son Williams",BAL,"RB66","169","222","190.8","14.4"
"190","Tyler Johnson",TB,"WR91","137","217","193.6","22.4"
"191","Chester Rogers",TEN,"WR92","184","206","194.5","7.1"
"192","Joshua Palmer",LAC,"WR93","193","197","195.9","1.4"
"193","DeAndre Carter",WAS,"WR94","184","187","184.9","1.4"
"194","Equanimeous St. Brown",GB,"WR95","195","199","197.5","1.5"
"195","Albert Wilson",MIA,"WR96","195","210","200.1","5.8"
"196","Anthony Firkser",TEN,"TE34","185","194","189.9","3.0"
"197","Dawson Knox",BUF,"TE35","173","186","178.8","5.9"
"198","Anthony McFarland Jr.",PIT,"RB67","200","208","203.5","2.9"
