"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1","Jonathan Taylor",IND,"RB1","1","3","1.3","0.7"
"2","Cooper Kupp",LAR,"WR1","1","5","2.0","0.6"
"3","Alvin Kamara",NO,"RB2","1","6","3.3","1.0"
"4","Austin Ekeler",LAC,"RB3","2","11","5.1","2.0"
"5","Tyreek Hill",KC,"WR2","4","8","5.4","0.9"
"6","Dalvin Cook",MIN,"RB4","3","9","5.9","1.7"
"7","Najee Harris",PIT,"RB5","4","11","7.6","1.7"
"8","Aaron Jones",GB,"RB6","4","15","8.3","2.7"
"9","Ja'Marr Chase",CIN,"WR3","8","14","9.5","1.7"
"10","Stefon Diggs",BUF,"WR4","5","14","9.9","2.0"
"11","Ezekiel Elliott",DAL,"RB7","4","20","10.5","2.5"
"12","Darrell Henderson Jr.",LAR,"RB8","6","15","12.4","1.7"
"13","A.J. Brown",TEN,"WR5","10","17","13.2","1.9"
"14","Justin Jefferson",MIN,"WR6","12","18","15.2","1.7"
"15","Davante Adams",GB,"WR7","6","24","15.4","4.1"
"16","Deebo Samuel",SF,"WR8","10","31","18.3","5.5"
"17","Nick Chubb",CLE,"RB9","12","26","18.3","4.7"
"18","CeeDee Lamb",DAL,"WR9","13","31","18.7","4.1"
"19","Diontae Johnson",PIT,"WR10","16","24","19.0","2.1"
"20","Travis Kelce",KC,"TE1","16","22","19.0","0.9"
"21","Joe Mixon",CIN,"RB10","15","26","19.4","3.5"
"22","Darren Waller",LV,"TE2","20","40","23.4","4.8"
"23","Keenan Allen",LAC,"WR11","17","30","23.6","3.0"
"24","D.J. Moore",CAR,"WR12","20","38","25.2","4.0"
"25","Marquise Brown",BAL,"WR13","21","31","26.6","2.8"
"26","Michael Pittman Jr.",IND,"WR14","23","32","26.9","2.5"
"27","Mike Williams",LAC,"WR15","21","34","27.9","3.4"
"28","Damien Harris",NE,"RB11","14","37","28.6","4.4"
"29","Adam Thielen",MIN,"WR16","21","38","29.1","3.4"
"30","Amari Cooper",DAL,"WR17","24","35","29.8","2.8"
"31","Robert Woods",LAR,"WR18","24","40","32.4","3.3"
"32","Michael Carter",NYJ,"RB12","27","37","32.6","2.9"
"33","Cordarrelle Patterson",ATL,"RB13","17","116","33.1","17.0"
"34","Brandin Cooks",HOU,"WR19","29","42","35.6","2.9"
"35","Tee Higgins",CIN,"WR20","30","42","36.0","2.7"
"36","Josh Jacobs",LV,"RB14","27","52","37.7","6.3"
