"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"84",6,"Zack Moss",BUF,"RB35","7","3 out of 5 stars","+8"
"85",6,"Logan Thomas",WAS,"TE8","9","3 out of 5 stars","+4"
"86",6,"Leonard Fournette",TB,"RB36","9","0 out of 5 stars","-6"
"87",6,"Brandin Cooks",HOU,"WR34","10","3 out of 5 stars","+11"
"88",6,"Deebo Samuel",SF,"WR35","6","5 out of 5 stars","-5"
"89",6,"Tom Brady",TB,"QB10","9","2 out of 5 stars","-15"
"90",6,"Dallas Goedert",PHI,"TE9","14","3 out of 5 stars","-2"
"91",6,"D.J. Chark Jr.",JAC,"WR36","7","5 out of 5 stars","-4"
"92",6,"Kenyan Drake",LV,"RB37","8","2 out of 5 stars","+8"
"93",6,"Matthew Stafford",LAR,"QB11","11","4 out of 5 stars","-3"
"94",6,"Robert Tonyan",GB,"TE10","13","3 out of 5 stars","+5"
"95",6,"Jalen Hurts",PHI,"QB12","14","4 out of 5 stars","-10"
"96",6,"Gus Edwards",BAL,"RB38","8","4 out of 5 stars","+12"
"97",6,"AJ Dillon",GB,"RB39","13","0 out of 5 stars","-3"
"98",6,"Will Fuller V",MIA,"WR37","14","3 out of 5 stars","+5"
"99",6,"David Johnson",HOU,"RB40","10","4 out of 5 stars","-2"
"100",6,"DeVonta Smith",PHI,"WR38","14","3 out of 5 stars","-14"
"101",6,"Tyler Higbee",LAR,"TE11","11","2 out of 5 stars","+4"
"102",6,"Antonio Brown",TB,"WR39","9","2 out of 5 stars","-6"
"103",6,"Jamaal Williams",DET,"RB41","9","0 out of 5 stars","+18"
"104",6,"Corey Davis",NYJ,"WR40","6","4 out of 5 stars","+13"
"105",6,"Devin Singletary",BUF,"RB42","7","3 out of 5 stars","+2"
"106",6,"Jarvis Landry",CLE,"WR41","13","1 out of 5 stars","-4"
"107",6,"Nyheim Hines",IND,"RB43","14","4 out of 5 stars","+18"
"108",6,"Joe Burrow",CIN,"QB13","10","2 out of 5 stars","-2"
"109",6,"Curtis Samuel",WAS,"WR42","9","3 out of 5 stars","+4"
"110",6,"Laviska Shenault Jr.",JAC,"WR43","7","5 out of 5 stars","+1"
"111",6,"Tony Pollard",DAL,"RB44","7","2 out of 5 stars","+9"
"112",6,"Mike Gesicki",MIA,"TE12","14","4 out of 5 stars","-2"
"113",6,"Mike Williams",LAC,"WR44","7","3 out of 5 stars","+2"
"114",6,"Michael Gallup",DAL,"WR45","7","1 out of 5 stars","+5"
"115",6,"Irv Smith Jr.",MIN,"TE13","7","2 out of 5 stars","+12"
"116",6,"Jonnu Smith",NE,"TE14","14","5 out of 5 stars","+34"
"117",6,"Michael Thomas",NO,"WR46","6","4 out of 5 stars","-45"
"118",6,"Phillip Lindsay",HOU,"RB45","10","4 out of 5 stars","+30"
"119",6,"Marvin Jones Jr.",JAC,"WR47","7","5 out of 5 stars","+17"
"120",7,"Latavius Murray",NO,"RB46","6","2 out of 5 stars","+17"
"121",7,"Evan Engram",NYG,"TE15","10","3 out of 5 stars","+34"
"122",7,"DeVante Parker",MIA,"WR48","14","3 out of 5 stars","+17"
"123",7,"Jaylen Waddle",MIA,"WR49","14","3 out of 5 stars","-9"
"124",7,"Michael Pittman Jr.",IND,"WR50","14","5 out of 5 stars","0"
"125",7,"Darnell Mooney",CHI,"WR51","10","3 out of 5 stars","+7"
"126",7,"Marquise Brown",BAL,"WR52","8","2 out of 5 stars","+3"
"127",7,"Matt Ryan",ATL,"QB14","6","3 out of 5 stars","+4"
"128",7,"James White",NE,"RB47","14","3 out of 5 stars","+39"
"129",7,"Trevor Lawrence",JAC,"QB15","7","4 out of 5 stars","-7"
"130",7,"Alexander Mattison",MIN,"RB48","7","3 out of 5 stars","+8"
"131",7,"J.D. McKissic",WAS,"RB49","9","3 out of 5 stars","+15"
"132",7,"Rob Gronkowski",TB,"TE16","9","3 out of 5 stars","-23"
"133",7,"Hunter Henry",NE,"TE17","14","5 out of 5 stars","+19"
"134",7,"Kirk Cousins",MIN,"QB16","7","3 out of 5 stars","+13"
"135",7,"Mecole Hardman",KC,"WR53","12","3 out of 5 stars","0"
"136",7,"T.Y. Hilton",IND,"WR54","14","5 out of 5 stars","+13"
"137",7,"Baker Mayfield",CLE,"QB17","13","3 out of 5 stars","-4"
"138",7,"Giovani Bernard",TB,"RB50","9","0 out of 5 stars","+30"
"139",7,"Russell Gage",ATL,"WR55","6","4 out of 5 stars","+18"
"140",7,"Tua Tagovailoa",MIA,"QB18","14","4 out of 5 stars","+14"
"141",7,"Gerald Everett",SEA,"TE18","9","1 out of 5 stars","+50"
"142",7,"Cole Beasley",BUF,"WR56","7","3 out of 5 stars","-2"
"143",7,"Henry Ruggs III",LV,"WR57","8","1 out of 5 stars","-15"
"144",7,"Jared Cook",LAC,"TE19","7","3 out of 5 stars","+38"
"145",7,"Cole Kmet",CHI,"TE20","10","1 out of 5 stars","+86"
"146",7,"Blake Jarwin",DAL,"TE21","7","2 out of 5 stars","+49"
"147",7,"Austin Hooper",CLE,"TE22","13","2 out of 5 stars","+80"
"148",7,"Tevin Coleman",NYJ,"RB51","6","4 out of 5 stars","+12"
"149",7,"Rashaad Penny",SEA,"RB52","9","1 out of 5 stars","+10"
"150",7,"Adam Trautman",NO,"TE23","6","4 out of 5 stars","+20"
"151",7,"Nelson Agholor",NE,"WR58","14","4 out of 5 stars","+24"
"152",7,"Elijah Moore",NYJ,"WR59","6","4 out of 5 stars","-9"
"153",7,"Ryan Fitzpatrick",WAS,"QB19","9","4 out of 5 stars","+19"
"154",7,"Sterling Shepard",NYG,"WR60","10","3 out of 5 stars","+38"
"155",7,"Justin Fields",CHI,"QB20","10","2 out of 5 stars","-10"
"156",7,"Jalen Reagor",PHI,"WR61","14","3 out of 5 stars","+25"
"157",7,"Ben Roethlisberger",PIT,"QB21","7","4 out of 5 stars","+4"
"158",8,"Tre'Quan Smith",NO,"WR62","6","4 out of 5 stars","+44"
"159",8,"Jakobi Meyers",NE,"WR63","14","4 out of 5 stars","+46"
"160",8,"Daniel Jones",NYG,"QB22","10","4 out of 5 stars","+72"
"161",8,"Rashod Bateman",BAL,"WR64","8","2 out of 5 stars","+8"
"162",8,"Derek Carr",LV,"QB23","8","3 out of 5 stars","+45"
"163",8,"Jamison Crowder",NYJ,"WR65","6","4 out of 5 stars","+26"
"164",8,"Los Angeles Rams",LAR,"DST1","11","3 out of 5 stars","-63"
"165",8,"Pittsburgh Steelers",PIT,"DST2","7","2 out of 5 stars","-61"
"166",8,"Anthony Firkser",TEN,"TE24","13","2 out of 5 stars","+48"
"167",8,"Eric Ebron",PIT,"TE25","7","5 out of 5 stars","+53"
"168",8,"Gabriel Davis",BUF,"WR66","7","3 out of 5 stars","+57"
"169",8,"Emmanuel Sanders",BUF,"WR67","7","3 out of 5 stars","+18"
"170",8,"Zach Ertz",PHI,"TE26","14","3 out of 5 stars","-14"
"171",8,"Baltimore Ravens",BAL,"DST3","8","2 out of 5 stars","-53"
"172",8,"Tarik Cohen",CHI,"RB53","10","3 out of 5 stars","+6"
"173",8,"Rondale Moore",ARI,"WR68","12","2 out of 5 stars","+17"
"174",8,"John Brown",LV,"WR69","8","1 out of 5 stars","+47"
"175",8,"Washington Football Team",WAS,"DST4","9","2 out of 5 stars","-63"
"176",8,"San Francisco 49ers",SF,"DST5","6","3 out of 5 stars","-46"
"177",8,"Tampa Bay Buccaneers",TB,"DST6","9","5 out of 5 stars","-61"
"178",8,"Justin Tucker",BAL,"K1","8","4 out of 5 stars","-55"
"179",8,"Trey Lance",SF,"QB24","6","5 out of 5 stars","-26"
"180",8,"Christian Kirk",ARI,"WR70","12","2 out of 5 stars","+42"
"181",8,"Malcolm Brown",MIA,"RB54","14","4 out of 5 stars","+37"
"182",8,"Parris Campbell",IND,"WR71","14","5 out of 5 stars","+65"
"183",8,"Zach Wilson",NYJ,"QB25","6","3 out of 5 stars","-3"
"184",8,"Harrison Butker",KC,"K2","12","2 out of 5 stars","-58"
"185",8,"Bryan Edwards",LV,"WR72","8","1 out of 5 stars","+21"
"186",8,"Indianapolis Colts",IND,"DST7","14","2 out of 5 stars","-45"
"187",8,"Younghoe Koo",ATL,"K3","6","3 out of 5 stars","-53"
"188",8,"Sam Darnold",CAR,"QB26","13","4 out of 5 stars","+45"
"189",8,"Darius Slayton",NYG,"WR73","10","3 out of 5 stars","+65"
"190",8,"New England Patriots",NE,"DST8","14","0 out of 5 stars","-16"
"191",8,"Breshad Perriman",DET,"WR74","9","1 out of 5 stars","+64"
"192",8,"Buffalo Bills",BUF,"DST9","7","3 out of 5 stars","-48"
"193",8,"Greg Zuerlein",DAL,"K4","7","4 out of 5 stars","-35"
"194",8,"Darrel Williams",KC,"RB55","12","4 out of 5 stars","-6"
"195",8,"Salvon Ahmed",MIA,"RB56","14","4 out of 5 stars","+22"
"196",8,"Randall Cobb",GB,"WR75","13","1 out of 5 stars","-13"
"197",8,"Marlon Mack",IND,"RB57","14","4 out of 5 stars","-34"
"198",8,"A.J. Green",ARI,"WR76","12","2 out of 5 stars","-19"
"199",8,"Darrynton Evans",TEN,"RB58","13","3 out of 5 stars","+31"
"200",8,"Kenneth Gainwell",PHI,"RB59","14","3 out of 5 stars","+3"
"201",8,"Carson Wentz",IND,"QB27","14","4 out of 5 stars","+12"
"202",8,"Amon-Ra St. Brown",DET,"WR77","9","1 out of 5 stars","-2"
"203",8,"Sammy Watkins",BAL,"WR78","8","2 out of 5 stars","+21"
"204",8,"New Orleans Saints",NO,"DST10","6","3 out of 5 stars","+37"
"205",8,"Jared Goff",DET,"QB28","9","1 out of 5 stars","+23"
"206",8,"Kansas City Chiefs",KC,"DST11","12","1 out of 5 stars","-20"
"207",8,"Terrace Marshall Jr.",CAR,"WR79","13","5 out of 5 stars","-10"
"208",9,"Allen Lazard",GB,"WR80","13","1 out of 5 stars","+32"
"209",9,"Damien Williams",CHI,"RB60","10","3 out of 5 stars","-16"
"210",9,"Jason Sanders",MIA,"K5","14","4 out of 5 stars","-59"
"211",9,"Sony Michel",NE,"RB61","14","3 out of 5 stars","-7"
"212",9,"Justin Jackson",LAC,"RB62","7","4 out of 5 stars","+36"
"213",9,"Denver Broncos",DEN,"DST12","11","2 out of 5 stars","-28"
"214",9,"Matt Prater",ARI,"K6","12","4 out of 5 stars","-6"
"215",9,"Chicago Bears",CHI,"DST13","10","2 out of 5 stars","+24"
"216",9,"Rodrigo Blankenship",IND,"K7","14","3 out of 5 stars","-52"
"217",9,"Jameis Winston",NO,"QB29","6","3 out of 5 stars","-1"
"218",9,"Hayden Hurst",ATL,"TE27","6","2 out of 5 stars","+17"
"219",9,"Miami Dolphins",MIA,"DST14","14","2 out of 5 stars","-25"
"220",9,"Los Angeles Chargers",LAC,"DST15","7","4 out of 5 stars","+78"
"221",9,"Cleveland Browns",CLE,"DST16","13","3 out of 5 stars","-50"
"222",9,"Marquez Valdes-Scantling",GB,"WR81","13","1 out of 5 stars","+58"
"223",9,"Robbie Gould",SF,"K8","6","4 out of 5 stars","-12"
"224",9,"Dawson Knox",BUF,"TE28","7","2 out of 5 stars","+21"
"225",9,"Carlos Hyde",JAC,"RB63","7","4 out of 5 stars","+103"
"226",9,"Tyrell Williams",DET,"WR82","9","1 out of 5 stars","+55"
"227",9,"Tyler Bass",BUF,"K9","7","3 out of 5 stars","-85"
"228",9,"Boston Scott",PHI,"RB64","14","3 out of 5 stars","+15"
"229",9,"Cam Newton",NE,"QB30","14","5 out of 5 stars","-31"
"230",9,"Jason Myers",SEA,"K10","9","4 out of 5 stars","-18"
"231",9,"Chuba Hubbard",CAR,"RB65","13","2 out of 5 stars","-69"
"232",9,"Ryan Succop",TB,"K11","9","2 out of 5 stars","-56"
"233",9,"Green Bay Packers",GB,"DST17","13","5 out of 5 stars","+20"
"234",9,"Joshua Kelley",LAC,"RB66","7","4 out of 5 stars","+30"
"235",9,"Mason Crosby",GB,"K12","13","0 out of 5 stars","-36"
"236",9,"Seattle Seahawks",SEA,"DST18","9","4 out of 5 stars","-10"
"237",9,"Wil Lutz",NO,"K13","6","4 out of 5 stars","-53"
"238",9,"Minnesota Vikings",MIN,"DST19","7","3 out of 5 stars","-15"
"239",9,"Mark Ingram II",HOU,"RB67","10","4 out of 5 stars","-38"
"240",9,"Michael Badgley",LAC,"K14","7","2 out of 5 stars","+16"
"241",9,"Van Jefferson",LAR,"WR83","11","5 out of 5 stars","+52"
"242",9,"Brandon McManus",DEN,"K15","11","1 out of 5 stars","-8"
"243",9,"Tim Patrick",DEN,"WR84","11","4 out of 5 stars","+84"
"244",9,"O.J. Howard",TB,"TE29","9","3 out of 5 stars","+7"
"245",9,"Daniel Carlson",LV,"K16","8","2 out of 5 stars","-35"
"246",9,"Josh Reynolds",TEN,"WR85","13","3 out of 5 stars","+69"
"247",9,"Philadelphia Eagles",PHI,"DST20","14","4 out of 5 stars","+40"
"248",9,"DeSean Jackson",LAR,"WR86","11","5 out of 5 stars","+46"
"249",9,"Denzel Mims",NYJ,"WR87","6","4 out of 5 stars","+10"
"250",9,"Hunter Renfrow",LV,"WR88","8","1 out of 5 stars","+53"
"251",9,"KJ Hamler",DEN,"WR89","11","4 out of 5 stars","+44"
"252",9,"Marquez Callaway",NO,"WR90","6","4 out of 5 stars","-87"
"253",9,"Taysom Hill",NO,"QB31","6","3 out of 5 stars","-80"
"254",9,"Rhamondre Stevenson",NE,"RB68","14","3 out of 5 stars","-58"
"255",9,"Joey Slye",CAR,"K17","13","5 out of 5 stars","+29"
"256",9,"Benny Snell Jr.",PIT,"RB69","7","5 out of 5 stars","+2"
"257",9,"Devontae Booker",NYG,"RB70","10","2 out of 5 stars","-48"
"258",9,"Anthony Miller",HOU,"WR91","10","3 out of 5 stars","+17"
"259",9,"Jake Elliott",PHI,"K18","14","4 out of 5 stars","+4"
"260",9,"Chris Boswell",PIT,"K19","7","2 out of 5 stars","0"
"261",9,"Tennessee Titans",TEN,"DST21","13","3 out of 5 stars","-46"
"262",9,"Jerick McKinnon",KC,"RB71","12","4 out of 5 stars","-16"
"263",9,"Dan Arnold",CAR,"TE30","13","4 out of 5 stars","-1"
"264",9,"Kadarius Toney",NYG,"WR92","10","3 out of 5 stars","-26"
"265",9,"Dustin Hopkins",WAS,"K20","9","2 out of 5 stars","+17"
"266",10,"Ty Johnson",NYJ,"RB72","6","4 out of 5 stars","+22"
"267",10,"Arizona Cardinals",ARI,"DST22","12","3 out of 5 stars","+6"
"268",10,"Nico Collins",HOU,"WR93","10","3 out of 5 stars","-32"
"269",10,"New York Giants",NYG,"DST23","10","4 out of 5 stars","0"
"270",10,"Ka'imi Fairbairn",HOU,"K21","10","3 out of 5 stars","+74"
"271",10,"Chris Herndon IV",NYJ,"TE31","6","3 out of 5 stars","+98"
"272",10,"Xavier Jones",LAR,"RB73","11","4 out of 5 stars","-95"
"273",10,"James Washington",PIT,"WR94","7","2 out of 5 stars","+92"
"274",10,"Matt Breida",BUF,"RB74","7","3 out of 5 stars","+117"
"275",10,"Jeff Wilson Jr.",SF,"RB75","6","3 out of 5 stars","-1"
"276",10,"Amari Rodgers",GB,"WR95","13","1 out of 5 stars","+16"
"277",10,"La'Mical Perine",NYJ,"RB76","6","4 out of 5 stars","-7"
"278",10,"Wayne Gallman",SF,"RB77","6","3 out of 5 stars","+22"
"279",10,"Jack Doyle",IND,"TE32","14","4 out of 5 stars","+110"
"280",10,"New York Jets",NYJ,"DST24","6","4 out of 5 stars","+69"
"281",10,"Teddy Bridgewater",DEN,"QB32","11","5 out of 5 stars","+48"
"282",10,"Anthony McFarland Jr.",PIT,"RB78","7","5 out of 5 stars","-33"
"283",10,"Josh Lambo",JAC,"K22","7","5 out of 5 stars","+72"
"284",10,"Jimmy Graham",CHI,"TE33","10","1 out of 5 stars","-16"
"285",10,"Samaje Perine",CIN,"RB79","10","3 out of 5 stars","+22"
"286",10,"Dallas Cowboys",DAL,"DST25","7","5 out of 5 stars","-44"
"287",10,"Drew Lock",DEN,"QB33","11","5 out of 5 stars","+59"
"288",10,"Rashard Higgins",CLE,"WR96","13","1 out of 5 stars","+46"
"289",10,"Jimmy Garoppolo",SF,"QB34","6","5 out of 5 stars","+24"
"290",10,"Matt Gay",LAR,"K23","11","5 out of 5 stars","-53"
"291",10,"Preston Williams",MIA,"WR97","14","3 out of 5 stars","+70"
"292",10,"Keke Coutee",HOU,"WR98","10","3 out of 5 stars","+4"
"293",10,"Jacksonville Jaguars",JAC,"DST26","7","2 out of 5 stars","+59"
"294",10,"N'Keal Harry",NE,"WR99","14","4 out of 5 stars","+74"
"295",10,"Kerryon Johnson",PHI,"RB80","14","3 out of 5 stars","+35"
"296",10,"Quintez Cephus",DET,"WR100","9","1 out of 5 stars","+60"
"297",10,"Zach Pascal",IND,"WR101","14","5 out of 5 stars","+48"
"298",10,"Deshaun Watson",HOU,"QB35","10","4 out of 5 stars","-132"
"299",10,"Keelan Cole Sr.",NYJ,"WR102","6","4 out of 5 stars","+55"
"300",10,"Donovan Peoples-Jones",CLE,"WR103","13","1 out of 5 stars","-29"
"301",10,"Kendrick Bourne",NE,"WR104","14","4 out of 5 stars","+58"
"302",10,"Graham Gano",NYG,"K24","10","2 out of 5 stars","+35"
"303",10,"Tyron Johnson",LAC,"WR105","7","3 out of 5 stars","+76"
"304",10,"Travis Fulgham",PHI,"WR106","14","3 out of 5 stars","+2"
"305",10,"Atlanta Falcons",ATL,"DST27","6","5 out of 5 stars","+43"
"306",10,"Ke'Shawn Vaughn",TB,"RB81","9","0 out of 5 stars","+8"
"307",10,"Tyrod Taylor",HOU,"QB36","10","4 out of 5 stars","-10"
"308",10,"Javian Hawkins",ATL,"RB82","6","2 out of 5 stars","-58"
"309",10,"Dyami Brown",WAS,"WR107","9","3 out of 5 stars","-5"
"310",10,"D'Wayne Eskridge",SEA,"WR108","9","1 out of 5 stars","-2"
"311",10,"Carolina Panthers",CAR,"DST28","13","4 out of 5 stars","-28"
"312",10,"Scotty Miller",TB,"WR109","9","2 out of 5 stars","-27"
"313",10,"DeeJay Dallas",SEA,"RB83","9","1 out of 5 stars","-"
"314",10,"Qadree Ollison",ATL,"RB84","6","2 out of 5 stars","-37"
"315",10,"Austin Seibert",CIN,"K25","10","1 out of 5 stars","-"
"316",10,"Kyle Rudolph",NYG,"TE34","10","3 out of 5 stars","-"
"317",10,"Dalton Schultz",DAL,"TE35","7","2 out of 5 stars","-8"
"318",10,"Jalen Richard",LV,"RB85","8","2 out of 5 stars","-16"
"319",10,"Jordan Howard",PHI,"RB86","14","3 out of 5 stars","-"
"320",10,"Mac Jones",NE,"QB37","14","5 out of 5 stars","-31"
"321",10,"Rex Burkhead",HOU,"RB87","10","4 out of 5 stars","-"
"322",10,"Pat Freiermuth",PIT,"TE36","7","5 out of 5 stars","-103"
"323",10,"Mo Alie-Cox",IND,"TE37","14","4 out of 5 stars","-44"
"324",10,"Stephen Gostkowski",FA,"K26","-","-","-"
"325",10,"Greg Ward",PHI,"WR110","14","3 out of 5 stars","-"
"326",11,"Cairo Santos",CHI,"K27","10","2 out of 5 stars","+15"
"327",11,"Kalen Ballage",PIT,"RB88","7","5 out of 5 stars","-2"
"328",11,"Ian Thomas",CAR,"TE38","13","4 out of 5 stars","-"
"329",11,"Eno Benjamin",ARI,"RB89","12","3 out of 5 stars","-51"
"330",11,"Andy Dalton",CHI,"QB38","10","2 out of 5 stars","+51"
"331",11,"Andy Isabella",ARI,"WR111","12","2 out of 5 stars","-"
"332",11,"Justice Hill",BAL,"RB90","8","4 out of 5 stars","+54"
"333",11,"Donald Parham Jr.",LAC,"TE39","7","3 out of 5 stars","+61"
"334",11,"Josh Palmer",LAC,"WR112","7","3 out of 5 stars","-68"
"335",11,"Brian Hill",TEN,"RB91","13","3 out of 5 stars","-44"
"336",11,"Jordan Akins",HOU,"TE40","10","4 out of 5 stars","-79"
"337",11,"Byron Pringle",KC,"WR113","12","3 out of 5 stars","-36"
"338",11,"Zane Gonzalez",DET,"K28","9","5 out of 5 stars","-"
"339",11,"Demarcus Robinson",KC,"WR114","12","3 out of 5 stars","-63"
"340",11,"Miles Boykin",BAL,"WR115","8","2 out of 5 stars","-"
"341",11,"Larry Rountree III",LAC,"RB92","7","4 out of 5 stars","-22"
"342",11,"Will Dissly",SEA,"TE41","9","1 out of 5 stars","+41"
"343",11,"Jordan Wilkins",IND,"RB93","14","4 out of 5 stars","-"
"344",11,"Le'Veon Bell",FA,"RB94","-","-","-79"
"345",11,"Ito Smith",MIN,"RB95","7","3 out of 5 stars","-3"
"346",11,"Olamide Zaccheaus",ATL,"WR116","6","4 out of 5 stars","-47"
"347",11,"Duke Johnson Jr.",FA,"RB96","-","-","-"
"348",11,"Todd Gurley II",FA,"RB97","-","-","-119"
"349",11,"C.J. Uzomah",CIN,"TE42","10","2 out of 5 stars","-13"
"350",11,"Cody Parkey",CLE,"K29","13","2 out of 5 stars","-7"
"351",11,"Jermar Jefferson",DET,"RB98","9","0 out of 5 stars","-"
"352",11,"John Ross",NYG,"WR117","10","3 out of 5 stars","-"
"353",11,"Peyton Barber",WAS,"RB99","9","3 out of 5 stars","-"
