"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"125","Kenneth Gainwell",PHI,"RB43","109","132","124.3","6.8"
"126","Hunter Renfrow",LV,"WR69","113","136","124.5","5.6"
"127","KJ Hamler",DEN,"WR70","116","136","125.8","5.3"
"128","Gabriel Davis",BUF,"WR71","121","134","128.3","3.7"
"129","Austin Hooper",CLE,"TE15","114","147","128.8","9.3"
"130","Dyami Brown",WAS,"WR72","116","152","130.9","8.9"
"131","Van Jefferson",LAR,"WR73","117","143","132.0","6.4"
"132","A.J. Green",ARI,"WR74","118","152","134.9","8.9"
"133","Hunter Henry",NE,"TE16","124","146","134.9","7.7"
"134","Cole Kmet",CHI,"TE17","125","143","136.4","6.0"
"135","Amon-Ra St. Brown",DET,"WR75","129","157","137.5","6.2"
"136","Quez Watkins",PHI,"WR76","134","145","137.8","2.9"
"137","Mike Gesicki",MIA,"TE18","126","147","138.2","7.1"
"138","Michael Carter",NYJ,"RB44","127","159","138.3","7.8"
"139","Cordarrelle Patterson",ATL,"RB45","101","254","129.7","34.4"
"140","Donovan Peoples-Jones",CLE,"WR77","131","150","140.4","4.2"
"141","Cedrick Wilson Jr.",DAL,"WR78","120","170","141.7","9.8"
"142","Tony Jones Jr.",NO,"RB46","133","167","144.2","8.8"
"143","Gerald Everett",SEA,"TE19","120","151","144.6","7.9"
"144","AJ Dillon",GB,"RB47","128","160","146.2","8.0"
"145","Carlos Hyde",JAC,"RB48","131","168","149.3","12.3"
"146","Blake Jarwin",DAL,"TE20","145","156","149.7","3.0"
"147","David Johnson",HOU,"RB49","130","167","152.3","10.7"
"148","Phillip Lindsay",HOU,"RB50","138","171","154.0","8.2"
"149","Juwan Johnson",NO,"TE21","127","166","156.6","10.1"
"150","Ty Johnson",NYJ,"RB51","140","180","157.1","12.7"
"151","Odell Beckham Jr.",CLE,"WR79","75","223","140.3","40.1"
"152","Demarcus Robinson",KC,"WR80","137","182","150.8","10.8"
"153","Dalton Schultz",DAL,"TE22","149","156","152.6","1.9"
"154","Tyler Conklin",MIN,"TE23","146","165","153.2","4.2"
"155","Dawson Knox",BUF,"TE24","154","174","157.9","4.9"
"156","Tevin Coleman",NYJ,"RB52","140","185","166.7","12.5"
"157","Zack Moss",BUF,"RB53","138","189","168.0","13.4"
"158","Jack Doyle",IND,"TE25","135","178","160.1","8.6"
"159","Dan Arnold",CAR,"TE26","151","184","160.3","7.9"
"160","Randall Cobb",GB,"WR81","144","183","160.7","13.3"
"161","Albert Okwuegbunam",DEN,"TE27","148","188","163.5","11.1"
"162","Adam Humphries",WAS,"WR82","143","194","164.4","17.2"
"163","Alexander Mattison",MIN,"RB54","104","188","173.6","19.1"
"164","Giovani Bernard",TB,"RB55","163","194","173.8","7.1"
"165","Anthony Schwartz",CLE,"WR83","119","204","157.5","19.4"
"166","Kendrick Bourne",NE,"WR84","143","200","167.1","14.8"
"167","Salvon Ahmed",MIA,"RB56","147","189","176.2","10.4"
"168","David Njoku",CLE,"TE28","134","187","159.4","14.0"
"169","Rashard Higgins",CLE,"WR85","128","184","161.8","14.6"
"170","Damien Williams",CHI,"RB57","164","196","181.6","9.1"
"171","Peyton Barber",LV,"RB58","159","201","182.6","12.8"
"172","Darrel Williams",KC,"RB59","159","201","182.8","11.9"
"173","Allen Lazard",GB,"WR86","144","184","157.2","13.3"
"174","Eric Ebron",PIT,"TE29","162","184","167.3","6.0"
"175","Tyler Kroft",NYJ,"TE30","165","190","176.9","9.0"
"176","Deonte Harris",NO,"WR87","141","193","168.6","14.7"
"177","Jalen Guyton",LAC,"WR88","157","200","178.1","12.7"
"178","Freddie Swain",SEA,"WR89","148","208","178.2","13.9"
"179","Trent Sherfield",SF,"WR90","158","197","170.3","10.1"
"180","Kyle Rudolph",NYG,"TE31","162","187","172.9","7.8"
"181","Devontae Booker",NYG,"RB60","164","203","193.5","8.7"
"182","Hayden Hurst",ATL,"TE32","164","191","178.4","8.2"
"183","Chris Conley",HOU,"WR91","159","198","179.0","8.8"
"184","Adam Trautman",NO,"TE33","169","191","179.0","6.6"
"185","Tyrell Williams",DET,"WR92","126","229","170.9","25.2"
"186","Byron Pringle",KC,"WR93","178","207","189.3","7.7"
"187","Braxton Berrios",NYJ,"WR94","157","219","182.3","15.9"
"188","Anthony Firkser",TEN,"TE34","158","198","177.3","10.1"
"189","Chuba Hubbard",CAR,"RB61","164","212","196.2","10.4"
"190","Chester Rogers",TEN,"WR95","161","215","191.1","12.2"
"191","Zach Ertz",PHI,"TE35","164","209","183.2","13.3"
"192","Olamide Zaccheaus",ATL,"WR96","185","209","193.7","8.2"
"193","Trey Sermon",SF,"RB62","172","233","196.7","16.8"
"194","Malcolm Brown",MIA,"RB63","188","215","199.4","7.6"
"195","Kalif Raymond",DET,"WR97","186","208","200.0","6.3"
"196","DeSean Jackson",LAR,"WR98","182","228","201.6","11.8"
"197","Justin Jackson",LAC,"RB64","195","216","204.1","5.9"
