DF Rank,ADP Avg.,Name,Position,Bye Week,Consensus Points
17,15.11,EmmanueSanders,WR,7,164
17,15.12,RhamondrStevenson,RB,14,77
18,16.1 ,GeralEverett,TE,9,122
18,16.2 ,ColKmet,TE,10,124
18,16.3 ,JameiWinston,QB,6,330
18,16.4 ,MarqueCallaway,WR,6,155
18,16.5 ,Amon-RStBrown,WR,9,132
18,16.6 ,A.JGreen,WR,12,152
18,16.7 ,ParriCampbell,WR,14,133
18,16.8 ,ClevelanBrowns,DEF,13,101
18,16.9 ,ZacWilson,QB,6,305
18,16.10,JamisoCrowder,WR,6,133
19,16.11,TariCohen,RB,10,83
19,16.12,DevontaBooker,RB,10,69
19,17.1 ,AnthonFirkser,TE,13,127
19,17.2 ,SaDarnold,QB,13,328
19,17.3 ,BryaEdwards,WR,8,138
19,17.4 ,ChristiaKirk,WR,12,131
19,17.5 ,NeOrleanSaints,DEF,6,103
19,17.6 ,MiamDolphins,DEF,14,103
19,17.7 ,DarreWilliams,RB,12,81
19,17.8 ,MarloMack,RB,14,82
20,17.9 ,BlakJarwin,TE,7,120
20,17.10,DenveBroncos,DEF,11,102
20,17.11,KansaCitChiefs,DEF,12,102
20,17.12,EriEbron,TE,7,131
20,18.1 ,JohBrown,WR,8,127
20,18.2 ,JericMcKinnon,RB,12,63
20,18.3 ,SammWatkins,WR,8,132
20,18.4 ,TaysoHill,QB,6,145
20,18.5 ,JareGoff,QB,9,300
20,18.6 ,TyrelWilliams,WR,9,152
21,18.8 ,RyaIzzo,TE,10,17
21,18.9 ,BostoScott,RB,14,77
21,18.11,CaNewton,QB,14,198
21,18.12,AlleLazard,WR,13,99
21,19.1 ,CharliWoerner,TE,6,11
21,19.2 ,NicMullens,QB,14,13
21,19.3 ,KadariuToney,WR,10,105
21,19.4 ,DenzeMims,WR,6,93
21,19.5 ,DarryntoEvans,RB,13,78
21,19.6 ,MarqueValdes-Scantling,WR,13,110
22,19.7 ,MalcolBrown,RB,14,101
22,19.8 ,MarqisLee,WR,0,43
22,19.9 ,BreshaPerriman,WR,9,139
22,19.11,SonMichel,RB,11,150
22,19.12,DaMilne,WR,9,23
22,20.1 ,JavoWims,WR,10,14
22,20.2 ,DaltoKeene,TE,14,27
22,20.3 ,JefDriskel,QB,10,17
22,20.4 ,HaydeHurst,TE,6,109
22,20.5 ,GreeBaPackers,DEF,13,100
23,20.7 ,IsaiaFord,WR,0,15
23,20.8 ,MacHollins,WR,14,3
23,20.9 ,ChicagBears,DEF,10,89
23,20.10,MaJones,QB,14,159
23,20.11,PennHart,WR,9,15
23,20.12,DariuSlayton,WR,10,119
23,21.1 ,SalvoAhmed,RB,14,75
23,21.2 ,ArizonCardinals,DEF,12,97
23,21.3 ,T.JYeldon,RB,0,3
23,21.4 ,O.JHoward,TE,9,106
24,21.5 ,JarretStidham,QB,14,5
24,21.6 ,AleErickson,WR,10,18
24,21.8 ,DauricFountain,WR,12,0
24,21.10,VaJefferson,WR,11,123
24,21.11,K.JHill,WR,7,9
24,21.12,DeAndrCarter,WR,0,1
24,22.1 ,JimmGaroppolo,QB,6,88
24,22.3 ,MarviHall,WR,14,11
24,22.4 ,LaquoTreadwell,WR,7,21
24,22.5 ,NeYorGiants,DEF,10,98
25,22.6 ,MarcuJohnson,WR,13,15
25,22.7 ,DallaCowboys,DEF,7,91
25,22.8 ,HarrisoButkerK,rK,12,157
25,22.9 ,JessJames,TE,10,18
25,22.10,JaviaHawkins,RB,13,12
25,22.11,RyaGriffin,TE,6,25
25,22.12,LoAngeleChargers,DEF,7,98
25,23.1 ,SeattlSeahawks,DEF,9,99
25,23.2 ,Ray-RaMcCloud,WR,7,20
25,23.3 ,ChristiaBlake,WR,6,24
26,23.4 ,ElijhaPenny,RB,10,3
26,23.7 ,TyleBassK,sK,7,152
26,23.8 ,JustiTuckerK,rK,8,168
26,23.9 ,YounghoKooK,oK,6,158
26,23.10,MatBarkley,QB,13,4
26,23.11,DwaynWashington,RB,6,1
26,23.12,PaFreiermuth,TE,7,56
