DF Rank,ADP Avg.,Name,Position,Bye Week,Consensus Points
14,12.8 ,JustiFields,QB,10,356
14,12.9 ,EvaEngram,TE,10,85
14,12.10,JustiTuckerK,rK,8,168
14,12.11,SaFranciscers,DEF,6,104
14,12.12,J.DMcKissic,RB,9,72
14,13.1 ,BuffalBills,DEF,7,103
14,13.2 ,RashaaPenny,RB,9,69
14,13.3 ,IndianapoliColts,DEF,14,103
14,13.4 ,YounghoKooK,oK,6,158
14,13.5 ,ElijaMoore,WR,6,93
15,13.6 ,ChubHubbard,RB,13,59
15,13.7 ,IrSmith,TE,7,93
15,13.8 ,SonMichel,RB,11,131
15,13.9 ,JonnSmith,TE,14,86
15,13.10,TyleBassK,sK,7,152
15,13.11,KirCousins,QB,7,328
15,13.12,MarqueCallaway,WR,6,100
15,14.1 ,TeviColeman,RB,6,85
15,14.2 ,JasoSandersK,sK,14,160
15,14.3 ,BeRoethlisberger,QB,7,331
16,14.4 ,RyaSuccopK,pK,9,152
16,14.5 ,NeEnglanPatriots,DEF,14,100
16,14.7 ,MarloMack,RB,14,66
16,14.8 ,PaFreiermuth,TE,7,33
16,14.9 ,TuTagovailoa,QB,14,339
16,14.10,JareCook,TE,7,91
16,14.11,GreZuerleinK,nK,7,162
16,14.12,RodrigBlankenshipK,pK,14,161
16,15.1 ,DeVantParker,WR,14,117
16,15.2 ,GiovanBernard,RB,9,67
17,15.3 ,RyaFitzpatrick,QB,9,368
17,15.4 ,ColBeasley,WR,7,94
17,15.5 ,RusselGage,WR,6,92
17,15.6 ,JaleReagor,WR,14,91
17,15.7 ,ZacErtz,TE,14,76
17,15.8 ,ColKmet,TE,10,71
17,15.9 ,ClevelanBrowns,DEF,13,101
17,15.10,RondalMoore,WR,12,105
17,15.11,RashoBateman,WR,8,79
17,15.12,TerracMarshall,WR,13,99
18,16.1 ,DenveBroncos,DEF,11,102
18,16.2 ,MiamDolphins,DEF,14,103
18,16.3 ,A.JGreen,WR,12,95
18,16.4 ,AdaTrautman,TE,6,76
18,16.5 ,MatPraterK,rK,12,145
18,16.6 ,BryaEdwards,WR,8,90
18,16.7 ,RhamondrStevenson,RB,14,63
18,16.8 ,JakobMeyers,WR,14,95
18,16.9 ,GeralEverett,TE,9,71
18,16.10,JameiWinston,QB,6,330
19,16.11,JameWhite,RB,14,73
19,16.12,NelsoAgholor,WR,14,101
19,17.1 ,MarIngram,RB,10,55
19,17.2 ,DereCarr,QB,8,338
19,17.3 ,ZacWilson,QB,6,305
19,17.4 ,MalcolBrown,RB,14,79
19,17.5 ,SterlinShepard,WR,10,89
19,17.6 ,KansaCitChiefs,DEF,12,102
19,17.7 ,DarreWilliams,RB,12,60
19,17.8 ,KennetGainwell,RB,14,45
20,17.9 ,CaNewton,QB,14,198
20,17.10,AnthonFirkser,TE,13,77
20,17.11,CarsoWentz,QB,14,330
20,17.12,Amon-RStBrown,WR,9,78
20,18.1 ,DevontaBooker,RB,10,54
20,18.2 ,EmmanueSanders,WR,7,106
20,18.3 ,RandalCobb,WR,13,92
20,18.4 ,GabrieDavis,WR,7,95
20,18.5 ,Tre'QuaSmith,WR,6,100
20,18.6 ,DanieCarlsonK,nK,8,145
21,18.7 ,MinnesotVikings,DEF,7,90
21,18.8 ,MatGayK,yK,11,146
21,18.9 ,DarryntoEvans,RB,13,58
21,18.10,JasoMyersK,sK,9,150
21,18.11,MasoCrosbyK,yK,13,144
21,18.12,AustiHooper,TE,13,78
21,19.1 ,JamisoCrowder,WR,6,80
21,19.2 ,ChristiaKirk,WR,12,81
21,19.3 ,RobbiGouldK,dK,6,149
21,19.4 ,BrandoMcManusK,sK,11,141
22,19.5 ,TariCohen,RB,10,51
22,19.6 ,MaJones,QB,14,159
22,19.7 ,KadariuToney,WR,10,66
22,19.8 ,JohBrown,WR,8,82
22,19.9 ,ChicagBears,DEF,10,89
22,19.10,AlleLazard,WR,13,63
22,19.11,JustiJackson,RB,7,71
22,19.12,BostoScott,RB,14,53
22,20.1 ,TJohnson,RB,6,58
22,20.2 ,WiLutzK,zK,6,99
23,20.3 ,TaysoHill,QB,6,145
23,20.4 ,JosPalmer,WR,7,52
23,20.5 ,SalvoAhmed,RB,14,60
23,20.6 ,EriEbron,TE,7,79
23,20.7 ,LynBowden,WR,14,30
23,20.7 ,LoAngeleChargers,DEF,7,98
23,20.8 ,BlakJarwin,TE,7,71
23,20.9 ,AnthonMcFarlanJr.,RB,7,36
23,20.10,JarePatterson,RB,9,26
23,20.11,DanieJones,QB,10,341
24,20.12,MichaeBadgleyK,yK,7,132
24,21.1 ,ParriCampbell,WR,14,82
24,21.2 ,TennesseTitans,DEF,13,92
24,21.3 ,GreeBaPackers,DEF,13,100
24,21.4 ,ChriBoswellK,lK,7,145
24,21.5 ,JoshuKelley,RB,7,46
24,21.6 ,TyrelWilliams,WR,9,100
24,21.7 ,DonovaPeoples-Jones,WR,13,68
24,21.8 ,DariuSlayton,WR,10,78
24,21.9 ,SeattlSeahawks,DEF,9,99
25,21.10,JordaAkins,TE,10,55
25,21.11,ElijaMitchell,RB,6,31
25,21.12,BennSnell,RB,7,30
25,22.1 ,SammWatkins,WR,8,82
25,22.2 ,O.JHoward,TE,9,68
25,22.3 ,La'MicaPerine,RB,6,31
25,22.4 ,DenzeMims,WR,6,60
25,22.5 ,NeOrleanSaints,DEF,6,103
25,22.6 ,CordarrellPatterson,RB,6,59
25,22.7 ,BreshaPerriman,WR,9,93
26,22.8 ,HaydeHurst,TE,6,66
26,22.9 ,NicCollins,WR,10,77
26,22.10,JimmGraham,TE,10,52
26,22.11,MarqueValdes-Scantling,WR,13,77
26,22.12,JaviaHawkins,RB,13,9
26,23.1 ,SaDarnold,QB,13,328
26,23.2 ,DemarcuRobinson,WR,12,55
26,23.4 ,TommTremble,TE,13,11
26,23.5 ,JareGoff,QB,9,300
26,23.6 ,EvaMcPhersonK,nK,10,128
27,23.7 ,MAlie-Cox,TE,14,55
27,23.8 ,EnBenjamin,RB,12,11
27,23.9 ,ArizonCardinals,DEF,12,97
27,23.10,ScotMiller,WR,9,42
27,23.11,CarloHyde,RB,7,69
27,23.12,RoycFreeman,RB,11,17
27,24.1 ,OlamidZaccheaus,WR,6,57
27,24.2 ,HoustoTexans,DEF,10,75
27,24.3 ,QadreOllison,RB,6,57
27,24.4 ,D'WaynEskridge,WR,9,65
28,24.5 ,DeSeaJackson,WR,11,91
28,24.6 ,WaynGallman,RB,6,40
28,24.7 ,ChriEvans,RB,10,15
28,24.8 ,JericMcKinnon,RB,12,42
28,24.9 ,GrahaGanoK,oK,10,140
28,24.10,SaFickenK,nK,13,116
28,24.11,KekCoutee,WR,10,69
28,25.1 ,TyroTaylor,QB,10,187
28,25.2 ,JaleRichard,RB,8,35
28,25.3 ,AmarRodgers,WR,13,45
29,25.4 ,JimmGaroppolo,QB,6,88
29,25.5 ,DallaCowboys,DEF,7,91
29,25.6 ,MikBoone,RB,11,38
29,25.8 ,ReBurkhead,RB,10,39
29,25.9 ,TraviFulgham,WR,14,30
29,25.10,DaArnold,TE,13,50
29,25.11,DreLock,QB,11,81
29,25.12,LarrRountree,RB,7,45
29,26.1 ,Ke'ShawVaughn,RB,9,11
29,26.2 ,KerryoJohnson,RB,0,9
30,26.3 ,MatBreida,RB,7,37
30,26.4 ,CairSantosK,sK,10,141
30,26.5 ,AndDalton,QB,10,77
30,26.6 ,KhaliHerbert,RB,10,11
30,26.7 ,JosReynolds,WR,13,55
30,26.8 ,DawsoKnox,TE,7,62
30,26.9 ,D'OntForeman,RB,6,29
30,26.10,JosLamboK,oK,7,141
30,26.11,VaJefferson,WR,11,77
30,26.12,DaviMoore,WR,13,26
31,27.1 ,JermaJefferson,RB,9,30
31,27.2 ,DeeJaDallas,RB,9,28
31,27.3 ,KylJuszczyk,RB,6,32
31,27.4 ,KaleBallage,RB,7,26
31,27.5 ,TutAtwell,WR,11,47
31,27.6 ,SamajPerine,RB,10,44
31,27.7 ,RileRidley,WR,10,4
31,27.8 ,AnthonMiller,WR,10,67
31,27.8 ,HunteRenfrow,WR,8,60
31,27.9 ,ZacPascal,WR,14,69
32,27.10,CadJohnson,WR,9,0
32,27.11,JoeSlyeK,eK,13,141
32,27.12,KeelaCole,WR,6,76
32,28.1 ,TeddBridgewater,QB,11,300
32,28.2 ,JessJames,TE,10,9
32,28.3 ,QuinteCephus,WR,9,59
32,28.4 ,TiPatrick,WR,11,49
32,28.5 ,K.JHamler,WR,11,73
32,28.6 ,PhiladelphiEagles,DEF,14,90
32,28.7 ,DaltoSchultz,TE,7,50
33,28.7 ,DeontHarris,WR,6,44
33,28.8 ,RasharHiggins,WR,13,66
33,28.9 ,AmeeAbdullah,RB,7,11
